ICD_10_CD,disease_name,age_group,year,week,count
A04.8,Aeromonas,65-79 years,2000,33,2
A04.8,Aeromonas,<1 year,2000,34,2
A04.8,Aeromonas,10-14 years,2000,34,1
A04.8,Aeromonas,1-4 years,2000,34,2
A04.8,Aeromonas,35-54 years,2000,34,2
A04.8,Aeromonas,55-64 years,2000,34,2
A04.8,Aeromonas,65-79 years,2000,34,1
A04.8,Aeromonas,80+ years,2000,34,1
A04.8,Aeromonas,<1 year,2000,35,3
A04.8,Aeromonas,35-54 years,2000,35,1
A04.8,Aeromonas,5-9 years,2000,35,1
A04.8,Aeromonas,65-79 years,2000,35,2
A04.8,Aeromonas,80+ years,2000,35,1
A04.8,Aeromonas,<1 year,2000,36,1
A04.8,Aeromonas,25-34 years,2000,36,1
A04.8,Aeromonas,35-54 years,2000,36,1
A04.8,Aeromonas,<1 year,2000,37,1
A04.8,Aeromonas,1-4 years,2000,37,1
A04.8,Aeromonas,20-24 years,2000,37,2
A04.8,Aeromonas,35-54 years,2000,37,1
A04.8,Aeromonas,55-64 years,2000,37,1
A04.8,Aeromonas,65-79 years,2000,37,2
A04.8,Aeromonas,<1 year,2000,38,1
A04.8,Aeromonas,10-14 years,2000,38,1
A04.8,Aeromonas,1-4 years,2000,38,2
A04.8,Aeromonas,15-19 years,2000,38,1
A04.8,Aeromonas,35-54 years,2000,38,1
A04.8,Aeromonas,5-9 years,2000,38,1
A04.8,Aeromonas,1-4 years,2000,39,4
A04.8,Aeromonas,15-19 years,2000,39,1
A04.8,Aeromonas,55-64 years,2000,39,1
A04.8,Aeromonas,65-79 years,2000,39,1
A04.8,Aeromonas,80+ years,2000,39,1
A04.8,Aeromonas,25-34 years,2000,40,1
A04.8,Aeromonas,35-54 years,2000,40,1
A04.8,Aeromonas,5-9 years,2000,40,1
A04.8,Aeromonas,65-79 years,2000,40,1
A04.8,Aeromonas,20-24 years,2000,41,1
A04.8,Aeromonas,25-34 years,2000,41,1
A04.8,Aeromonas,35-54 years,2000,41,3
A04.8,Aeromonas,5-9 years,2000,41,1
A04.8,Aeromonas,80+ years,2000,41,2
A04.8,Aeromonas,55-64 years,2000,42,1
A04.8,Aeromonas,65-79 years,2000,42,1
A04.8,Aeromonas,80+ years,2000,42,2
A04.8,Aeromonas,1-4 years,2000,43,1
A04.8,Aeromonas,35-54 years,2000,43,1
A04.8,Aeromonas,5-9 years,2000,43,1
A04.8,Aeromonas,65-79 years,2000,43,2
A04.8,Aeromonas,80+ years,2000,43,1
A04.8,Aeromonas,<1 year,2000,44,1
A04.8,Aeromonas,35-54 years,2000,44,2
A04.8,Aeromonas,1-4 years,2000,45,1
A04.8,Aeromonas,35-54 years,2000,45,2
A04.8,Aeromonas,55-64 years,2000,45,1
A04.8,Aeromonas,1-4 years,2000,46,1
A04.8,Aeromonas,55-64 years,2000,46,1
A04.8,Aeromonas,1-4 years,2000,47,1
A04.8,Aeromonas,35-54 years,2000,47,2
A04.8,Aeromonas,65-79 years,2000,47,1
A04.8,Aeromonas,35-54 years,2000,48,1
A04.8,Aeromonas,65-79 years,2000,48,1
A04.8,Aeromonas,35-54 years,2000,49,1
A04.8,Aeromonas,80+ years,2000,49,1
A04.8,Aeromonas,35-54 years,2000,50,1
A04.8,Aeromonas,65-79 years,2000,50,2
A04.8,Aeromonas,1-4 years,2000,51,1
A04.8,Aeromonas,80+ years,2000,51,2
A04.8,Aeromonas,<1 year,2000,52,1
A04.8,Aeromonas,20-24 years,2000,52,1
A04.8,Aeromonas,25-34 years,2000,52,1
A04.8,Aeromonas,<1 year,2000,53,1
A04.8,Aeromonas,5-9 years,2001,0,1
A04.8,Aeromonas,<1 year,2001,1,2
A04.8,Aeromonas,15-19 years,2001,1,1
A04.8,Aeromonas,20-24 years,2001,1,1
A04.8,Aeromonas,35-54 years,2001,1,1
A04.8,Aeromonas,65-79 years,2001,1,1
A04.8,Aeromonas,55-64 years,2001,2,1
A04.8,Aeromonas,80+ years,2001,2,1
A04.8,Aeromonas,1-4 years,2001,3,2
A04.8,Aeromonas,35-54 years,2001,3,1
A04.8,Aeromonas,55-64 years,2001,3,2
A04.8,Aeromonas,15-19 years,2001,4,1
A04.8,Aeromonas,65-79 years,2001,4,2
A04.8,Aeromonas,1-4 years,2001,5,1
A04.8,Aeromonas,65-79 years,2001,5,2
A04.8,Aeromonas,80+ years,2001,5,1
A04.8,Aeromonas,1-4 years,2001,6,1
A04.8,Aeromonas,35-54 years,2001,6,1
A04.8,Aeromonas,55-64 years,2001,6,2
A04.8,Aeromonas,65-79 years,2001,6,1
A04.8,Aeromonas,<1 year,2001,7,1
A04.8,Aeromonas,55-64 years,2001,7,1
A04.8,Aeromonas,65-79 years,2001,7,1
A04.8,Aeromonas,<1 year,2001,8,1
A04.8,Aeromonas,35-54 years,2001,8,3
A04.8,Aeromonas,55-64 years,2001,8,1
A04.8,Aeromonas,65-79 years,2001,8,1
A04.8,Aeromonas,25-34 years,2001,9,1
A04.8,Aeromonas,80+ years,2001,9,2
A04.8,Aeromonas,<1 year,2001,10,1
A04.8,Aeromonas,1-4 years,2001,10,1
A04.8,Aeromonas,25-34 years,2001,10,1
A04.8,Aeromonas,35-54 years,2001,10,1
A04.8,Aeromonas,55-64 years,2001,10,2
A04.8,Aeromonas,5-9 years,2001,10,1
A04.8,Aeromonas,<1 year,2001,11,1
A04.8,Aeromonas,25-34 years,2001,11,1
A04.8,Aeromonas,35-54 years,2001,11,1
A04.8,Aeromonas,1-4 years,2001,12,1
A04.8,Aeromonas,35-54 years,2001,12,1
A04.8,Aeromonas,<1 year,2001,13,1
A04.8,Aeromonas,55-64 years,2001,13,1
A04.8,Aeromonas,5-9 years,2001,13,1
A04.8,Aeromonas,65-79 years,2001,13,2
A04.8,Aeromonas,<1 year,2001,14,1
A04.8,Aeromonas,25-34 years,2001,14,1
A04.8,Aeromonas,35-54 years,2001,14,2
A04.8,Aeromonas,65-79 years,2001,14,2
A04.8,Aeromonas,<1 year,2001,15,2
A04.8,Aeromonas,1-4 years,2001,15,2
A04.8,Aeromonas,65-79 years,2001,15,1
A04.8,Aeromonas,1-4 years,2001,16,1
A04.8,Aeromonas,20-24 years,2001,16,1
A04.8,Aeromonas,25-34 years,2001,16,1
A04.8,Aeromonas,35-54 years,2001,16,1
A04.8,Aeromonas,55-64 years,2001,16,1
A04.8,Aeromonas,80+ years,2001,16,1
A04.8,Aeromonas,<1 year,2001,17,1
A04.8,Aeromonas,20-24 years,2001,17,1
A04.8,Aeromonas,35-54 years,2001,17,1
A04.8,Aeromonas,65-79 years,2001,17,1
A04.8,Aeromonas,<1 year,2001,18,2
A04.8,Aeromonas,35-54 years,2001,18,1
A04.8,Aeromonas,65-79 years,2001,18,1
A04.8,Aeromonas,65-79 years,2001,19,2
A04.8,Aeromonas,80+ years,2001,19,1
A04.8,Aeromonas,1-4 years,2001,20,2
A04.8,Aeromonas,35-54 years,2001,20,2
A04.8,Aeromonas,5-9 years,2001,20,1
A04.8,Aeromonas,65-79 years,2001,20,2
A04.8,Aeromonas,1-4 years,2001,21,1
A04.8,Aeromonas,15-19 years,2001,21,1
A04.8,Aeromonas,35-54 years,2001,21,4
A04.8,Aeromonas,5-9 years,2001,21,1
A04.8,Aeromonas,<1 year,2001,22,1
A04.8,Aeromonas,1-4 years,2001,22,2
A04.8,Aeromonas,35-54 years,2001,22,1
A04.8,Aeromonas,65-79 years,2001,22,3
A04.8,Aeromonas,80+ years,2001,22,3
A04.8,Aeromonas,5-9 years,2001,23,1
A04.8,Aeromonas,<1 year,2001,24,1
A04.8,Aeromonas,1-4 years,2001,24,2
A04.8,Aeromonas,25-34 years,2001,24,1
A04.8,Aeromonas,35-54 years,2001,24,2
A04.8,Aeromonas,65-79 years,2001,24,2
A04.8,Aeromonas,1-4 years,2001,25,1
A04.8,Aeromonas,15-19 years,2001,25,2
A04.8,Aeromonas,25-34 years,2001,25,1
A04.8,Aeromonas,55-64 years,2001,25,1
A04.8,Aeromonas,25-34 years,2001,26,3
A04.8,Aeromonas,55-64 years,2001,26,1
A04.8,Aeromonas,65-79 years,2001,26,1
A04.8,Aeromonas,80+ years,2001,26,1
A04.8,Aeromonas,<1 year,2001,27,3
A04.8,Aeromonas,35-54 years,2001,27,3
A04.8,Aeromonas,55-64 years,2001,27,1
A04.8,Aeromonas,80+ years,2001,27,1
A04.8,Aeromonas,<1 year,2001,28,1
A04.8,Aeromonas,1-4 years,2001,28,1
A04.8,Aeromonas,25-34 years,2001,28,2
A04.8,Aeromonas,55-64 years,2001,28,1
A04.8,Aeromonas,65-79 years,2001,28,2
A04.8,Aeromonas,<1 year,2001,29,3
A04.8,Aeromonas,1-4 years,2001,29,2
A04.8,Aeromonas,35-54 years,2001,29,2
A04.8,Aeromonas,65-79 years,2001,29,1
A04.8,Aeromonas,<1 year,2001,30,3
A04.8,Aeromonas,20-24 years,2001,30,1
A04.8,Aeromonas,35-54 years,2001,30,2
A04.8,Aeromonas,80+ years,2001,30,1
A04.8,Aeromonas,1-4 years,2001,31,1
A04.8,Aeromonas,15-19 years,2001,31,1
A04.8,Aeromonas,25-34 years,2001,31,1
A04.8,Aeromonas,35-54 years,2001,31,4
A04.8,Aeromonas,5-9 years,2001,31,1
A04.8,Aeromonas,80+ years,2001,31,2
A04.8,Aeromonas,<1 year,2001,32,1
A04.8,Aeromonas,10-14 years,2001,32,1
A04.8,Aeromonas,1-4 years,2001,32,2
A04.8,Aeromonas,25-34 years,2001,32,1
A04.8,Aeromonas,35-54 years,2001,32,1
A04.8,Aeromonas,55-64 years,2001,32,1
A04.8,Aeromonas,5-9 years,2001,32,1
A04.8,Aeromonas,65-79 years,2001,32,2
A04.8,Aeromonas,80+ years,2001,32,1
A04.8,Aeromonas,<1 year,2001,33,3
A04.8,Aeromonas,10-14 years,2001,33,1
A04.8,Aeromonas,1-4 years,2001,33,1
A04.8,Aeromonas,25-34 years,2001,33,1
A04.8,Aeromonas,35-54 years,2001,33,4
A04.8,Aeromonas,55-64 years,2001,33,1
A04.8,Aeromonas,5-9 years,2001,33,1
A04.8,Aeromonas,65-79 years,2001,33,1
A04.8,Aeromonas,80+ years,2001,33,2
A04.8,Aeromonas,<1 year,2001,34,1
A04.8,Aeromonas,10-14 years,2001,34,1
A04.8,Aeromonas,1-4 years,2001,34,1
A04.8,Aeromonas,25-34 years,2001,34,1
A04.8,Aeromonas,35-54 years,2001,34,5
A04.8,Aeromonas,55-64 years,2001,34,3
A04.8,Aeromonas,65-79 years,2001,34,2
A04.8,Aeromonas,<1 year,2001,35,1
A04.8,Aeromonas,1-4 years,2001,35,4
A04.8,Aeromonas,35-54 years,2001,35,1
A04.8,Aeromonas,65-79 years,2001,35,2
A04.8,Aeromonas,1-4 years,2001,36,4
A04.8,Aeromonas,35-54 years,2001,36,2
A04.8,Aeromonas,65-79 years,2001,36,1
A04.8,Aeromonas,80+ years,2001,36,2
A04.8,Aeromonas,1-4 years,2001,37,2
A04.8,Aeromonas,25-34 years,2001,37,1
A04.8,Aeromonas,35-54 years,2001,37,1
A04.8,Aeromonas,5-9 years,2001,37,1
A04.8,Aeromonas,80+ years,2001,37,1
A04.8,Aeromonas,1-4 years,2001,38,1
A04.8,Aeromonas,20-24 years,2001,38,1
A04.8,Aeromonas,55-64 years,2001,38,1
A04.8,Aeromonas,65-79 years,2001,38,1
A04.8,Aeromonas,80+ years,2001,38,2
A04.8,Aeromonas,35-54 years,2001,39,2
A04.8,Aeromonas,65-79 years,2001,39,1
A04.8,Aeromonas,<1 year,2001,40,1
A04.8,Aeromonas,10-14 years,2001,40,1
A04.8,Aeromonas,25-34 years,2001,40,2
A04.8,Aeromonas,35-54 years,2001,40,5
A04.8,Aeromonas,80+ years,2001,40,1
A04.8,Aeromonas,1-4 years,2001,41,2
A04.8,Aeromonas,20-24 years,2001,41,2
A04.8,Aeromonas,35-54 years,2001,41,2
A04.8,Aeromonas,65-79 years,2001,41,2
A04.8,Aeromonas,25-34 years,2001,42,1
A04.8,Aeromonas,35-54 years,2001,42,2
A04.8,Aeromonas,55-64 years,2001,42,1
A04.8,Aeromonas,1-4 years,2001,43,1
A04.8,Aeromonas,25-34 years,2001,43,1
A04.8,Aeromonas,55-64 years,2001,43,1
A04.8,Aeromonas,5-9 years,2001,43,1
A04.8,Aeromonas,80+ years,2001,43,1
A04.8,Aeromonas,1-4 years,2001,44,1
A04.8,Aeromonas,65-79 years,2001,44,1
A04.8,Aeromonas,80+ years,2001,44,1
A04.8,Aeromonas,1-4 years,2001,45,2
A04.8,Aeromonas,25-34 years,2001,45,2
A04.8,Aeromonas,65-79 years,2001,45,1
A04.8,Aeromonas,<1 year,2001,46,1
A04.8,Aeromonas,1-4 years,2001,46,2
A04.8,Aeromonas,20-24 years,2001,46,1
A04.8,Aeromonas,25-34 years,2001,46,1
A04.8,Aeromonas,65-79 years,2001,46,1
A04.8,Aeromonas,80+ years,2001,46,1
A04.8,Aeromonas,5-9 years,2001,47,1
A04.8,Aeromonas,65-79 years,2001,47,1
A04.8,Aeromonas,80+ years,2001,47,2
A04.8,Aeromonas,<1 year,2001,48,1
A04.8,Aeromonas,65-79 years,2001,48,2
A04.8,Aeromonas,80+ years,2001,49,1
A04.8,Aeromonas,<1 year,2001,50,1
A04.8,Aeromonas,35-54 years,2001,50,1
A04.8,Aeromonas,80+ years,2001,50,1
A04.8,Aeromonas,35-54 years,2001,51,1
A04.8,Aeromonas,5-9 years,2001,51,1
A04.8,Aeromonas,65-79 years,2001,51,2
A04.8,Aeromonas,80+ years,2001,51,2
A04.8,Aeromonas,65-79 years,2001,52,1
A04.8,Aeromonas,20-24 years,2002,0,1
A04.8,Aeromonas,35-54 years,2002,0,1
A04.8,Aeromonas,5-9 years,2002,0,1
A04.8,Aeromonas,<1 year,2002,1,2
A04.8,Aeromonas,35-54 years,2002,1,1
A04.8,Aeromonas,1-4 years,2002,2,4
A04.8,Aeromonas,35-54 years,2002,2,1
A04.8,Aeromonas,65-79 years,2002,2,1
A04.8,Aeromonas,1-4 years,2002,3,1
A04.8,Aeromonas,35-54 years,2002,3,1
A04.8,Aeromonas,55-64 years,2002,3,1
A04.8,Aeromonas,65-79 years,2002,3,1
A04.8,Aeromonas,<1 year,2002,4,1
A04.8,Aeromonas,1-4 years,2002,4,1
A04.8,Aeromonas,25-34 years,2002,4,2
A04.8,Aeromonas,55-64 years,2002,4,1
A04.8,Aeromonas,65-79 years,2002,4,2
A04.8,Aeromonas,1-4 years,2002,5,1
A04.8,Aeromonas,55-64 years,2002,5,1
A04.8,Aeromonas,65-79 years,2002,5,2
A04.8,Aeromonas,<1 year,2002,6,1
A04.8,Aeromonas,1-4 years,2002,6,2
A04.8,Aeromonas,55-64 years,2002,6,1
A04.8,Aeromonas,5-9 years,2002,6,1
A04.8,Aeromonas,65-79 years,2002,6,2
A04.8,Aeromonas,80+ years,2002,6,1
A04.8,Aeromonas,1-4 years,2002,7,1
A04.8,Aeromonas,25-34 years,2002,7,2
A04.8,Aeromonas,35-54 years,2002,7,1
A04.8,Aeromonas,55-64 years,2002,7,1
A04.8,Aeromonas,1-4 years,2002,8,1
A04.8,Aeromonas,15-19 years,2002,8,1
A04.8,Aeromonas,25-34 years,2002,8,1
A04.8,Aeromonas,55-64 years,2002,8,1
