# Monthly all cause mortality; and deaths caused by pnuemonia and influenza in the United States; 1910-98,,,,
# Source:  1910 Table 10 in US Mortality Statistics; 1911-12 Table 8 in US Mortality Statistics; 1913 Table 7 in US Mortality Statistics.,,,,
# 1914-92 Table 10 in US Mortality Statistics; 1993-98 all data were extracted from electronic files obtained from the CDC.,,,,
# This data file is available online from the International Infectious Disease Data Archive (IIDDA) at http://iidda.mcmaster.ca,,,,
# Please acknowledge IIDDA in any publication or presentation in which data downloaded from IIDDA are used.,,,,
# First publication to use this data: D. J. D. Earn; J. Dushoff and S. A. Levin (2002) 'Ecology and evolution of the flu' Trends in Ecology and Evolution 17(7): 334-340,,,,
# See the IIDDA website for a list of all papers that have used this data file.,,,,
# acm = all cause mortality; pim = pneumonia and influenza mortality,,,,
numeric.date,year,month,acm,pim
1915.75,1915,10,70768,4643
1915.833,1915,11,70347,6627
1915.917,1915,12,86752,15360
1916,1916,1,104886,25905
1916.083,1916,2,87006,16046
1916.167,1916,3,93137,15051
1916.25,1916,4,83780,10973
1916.333,1916,5,82100,8108
1916.417,1916,6,72552,4423
1916.5,1916,7,80403,3307
1916.583,1916,8,81741,2905
1916.667,1916,9,77182,3629
1916.75,1916,10,75566,5442
1916.833,1916,11,76108,8143
1916.917,1916,12,87460,13288
1917,1917,1,108102,22710
1917.083,1917,2,98469,19649
1917.167,1917,3,101929,17197
1917.25,1917,4,93859,12665
1917.333,1917,5,92329,10082
1917.417,1917,6,80585,5337
1917.5,1917,7,81826,3171
1917.583,1917,8,83229,2711
1917.667,1917,9,79583,3906
1917.75,1917,10,80208,6538
1917.833,1917,11,78267,8735
1917.917,1917,12,88325,12660
1918,1918,1,104662,18189
1918.083,1918,2,94632,16116
1918.167,1918,3,107778,18918
1918.25,1918,4,108030,20552
1918.333,1918,5,91599,9985
1918.417,1918,6,80588,4416
1918.5,1918,7,82418,3640
1918.583,1918,8,85010,2804
1918.667,1918,9,89561,12226
1918.75,1918,10,289399,193865
1918.833,1918,11,163609,86899
1918.917,1918,12,147872,69080
1919,1919,1,146131,61675
1919.083,1919,2,109082,33370
1919.167,1919,3,114413,31332
1919.25,1919,4,95008,17394
1919.333,1919,5,86300,9448
1919.417,1919,6,75281,4219
1919.5,1919,7,78380,3195
1919.583,1919,8,74769,2809
1919.667,1919,9,72788,3427
1919.75,1919,10,76940,4883
1919.833,1919,11,78975,6861
1919.917,1919,12,88369,10713
1920,1920,1,111919,24904
1920.083,1920,2,167164,71507
1920.167,1920,3,116379,27276
1920.25,1920,4,93474,12120
1920.333,1920,5,91189,9214
1920.417,1920,6,79924,4860
1920.5,1920,7,77442,3148
1920.583,1920,8,77809,2883
1920.667,1920,9,76821,3352
1920.75,1920,10,80452,5112
1920.833,1920,11,82223,7401
1920.917,1920,12,87762,10428
1921,1921,1,96407,13534
1921.083,1921,2,88871,12393
1921.167,1921,3,95494,12404
1921.25,1921,4,87801,8719
1921.333,1921,5,87217,6504
1921.417,1921,6,79017,3763
1921.5,1921,7,82948,2582
1921.583,1921,8,81142,3005
1921.667,1921,9,77366,3235
1921.75,1921,10,84835,5364
1921.833,1921,11,82357,7418
1921.917,1921,12,88554,9535
1922,1922,1,102449,15399
1922.083,1922,2,103308,20922
1922.167,1922,3,115233,24371
1922.25,1922,4,94901,12924
1922.333,1922,5,91014,8288
1922.417,1922,6,81462,4083
1922.5,1922,7,81067,3016
1922.583,1922,8,79357,3031
1922.667,1922,9,77614,3280
1922.75,1922,10,86212,5904
1922.833,1922,11,87844,8611
1922.917,1922,12,101402,14612
1923,1923,1,120007,25677
1923.083,1923,2,124816,31343
1923.167,1923,3,122880,25817
1923.25,1923,4,106436,15423
1923.333,1923,5,98327,9356
1923.417,1923,6,89750,5045
1923.5,1923,7,86743,3556
1923.583,1923,8,85753,3448
1923.667,1923,9,83689,3881
1923.75,1923,10,89030,5967
1923.833,1923,11,90568,8803
1923.917,1923,12,95018,10734
1924,1924,1,109220,15227
1924.083,1924,2,105092,15733
1924.167,1924,3,114574,17203
1924.25,1924,4,106539,14326
1924.333,1924,5,101325,9353
1924.417,1924,6,92496,5984
1924.5,1924,7,88345,3408
1924.583,1924,8,86785,3119
1924.667,1924,9,83793,3969
1924.75,1924,10,90139,6395
1924.833,1924,11,92201,9056
1924.917,1924,12,103481,13004
1925,1925,1,110508,16485
1925.083,1925,2,102604,16840
1925.167,1925,3,118572,20001
1925.25,1925,4,109735,16137
1925.333,1925,5,104095,9995
1925.417,1925,6,95953,5492
1925.5,1925,7,92523,3579
1925.583,1925,8,92930,3817
1925.667,1925,9,90458,4220
1925.75,1925,10,97857,7136
1925.833,1925,11,97665,10239
1925.917,1925,12,106119,13029
1926,1926,1,118987,18854
1926.083,1926,2,109659,18530
1926.167,1926,3,139821,30615
1926.25,1926,4,122748,22195
1926.333,1926,5,109121,11665
1926.417,1926,6,97014,6284
1926.5,1926,7,97948,4174
1926.583,1926,8,91880,3555
1926.667,1926,9,91752,4241
1926.75,1926,10,98828,6939
1926.833,1926,11,99640,10183
1926.917,1926,12,108529,13371
1927,1927,1,116620,16882
1927.083,1927,2,101612,13047
1927.167,1927,3,114760,15050
1927.25,1927,4,109853,12645
1927.333,1927,5,107046,8915
1927.417,1927,6,99381,5810
1927.5,1927,7,97081,3957
1927.583,1927,8,92261,3669
1927.667,1927,9,92506,4538
1927.75,1927,10,98099,6511
1927.833,1927,11,98351,8738
1927.917,1927,12,109379,11939
1928,1928,1,121236,17503
1928.083,1928,2,115107,16560
1928.167,1928,3,128524,20601
1928.25,1928,4,122934,18682
1928.333,1928,5,122703,16400
1928.417,1928,6,105250,7833
1928.5,1928,7,103743,4484
1928.583,1928,8,101383,4162
1928.667,1928,9,99004,5198
1928.75,1928,10,105204,7668
1928.833,1928,11,108600,11179
1928.917,1928,12,144987,33666
1929,1929,1,179783,57911
1929.083,1929,2,124393,23853
1929.167,1929,3,125533,18643
1929.25,1929,4,111934,11399
1929.333,1929,5,113915,9645
1929.417,1929,6,102135,5720
1929.5,1929,7,102050,3917
1929.583,1929,8,99092,3975
1929.667,1929,9,97087,4741
1929.75,1929,10,106110,7602
1929.833,1929,11,104559,9231
1929.917,1929,12,119772,14543
1930,1930,1,123340,16810
1930.083,1930,2,116031,16805
1930.167,1930,3,125340,16133
1930.25,1930,4,120444,14102
1930.333,1930,5,113576,9106
1930.417,1930,6,108348,5906
1930.5,1930,7,109384,4146
1930.583,1930,8,100743,3855
1930.667,1930,9,97072,4462
1930.75,1930,10,106912,7191
1930.833,1930,11,106788,10187
1930.917,1930,12,115378,13020
1931,1931,1,130698,21892
1931.083,1931,2,119110,21189
1931.167,1931,3,128950,20994
1931.25,1931,4,116563,14724
1931.333,1931,5,111795,9190
1931.417,1931,6,105322,5553
1931.5,1931,7,104422,3714
1931.583,1931,8,97505,3624
1931.667,1931,9,96062,4011
1931.75,1931,10,102596,5722
1931.833,1931,11,101357,8122
1931.917,1931,12,108207,9940
1932,1932,1,112676,12559
1932.083,1932,2,113100,15182
1932.167,1932,3,132278,21232
1932.25,1932,4,114351,14229
1932.333,1932,5,108923,8902
1932.417,1932,6,99657,5084
1932.5,1932,7,101769,3803
1932.583,1932,8,96009,3569
1932.667,1932,9,91481,3977
1932.75,1932,10,101601,6920
1932.833,1932,11,104791,9961
1932.917,1932,12,131893,24122
1933,1933,1,137731,27523
1933.083,1933,2,114058,16068
1933.167,1933,3,120167,13679
1933.25,1933,4,110019,9766
1933.333,1933,5,109134,7205
1933.417,1933,6,106843,4604
1933.5,1933,7,104493,3649
1933.583,1933,8,99011,3626
1933.667,1933,9,99023,4192
1933.75,1933,10,108939,6659
1933.833,1933,11,112130,9946
1933.917,1933,12,120558,13225
1934,1934,1,128008,16193
1934.083,1934,2,121666,16669
1934.167,1934,3,131824,17111
1934.25,1934,4,120507,13098
1934.333,1934,5,118811,9983
1934.417,1934,6,110220,5320
1934.5,1934,7,115567,4165
1934.583,1934,8,103265,3784
1934.667,1934,9,101779,4907
1934.75,1934,10,108440,6707
1934.833,1934,11,111659,9481
1934.917,1934,12,125157,15023
1935,1935,1,135856,21794
1935.083,1935,2,121794,18606
1935.167,1935,3,128550,17520
1935.25,1935,4,120147,13293
1935.333,1935,5,118826,10494
1935.417,1935,6,107487,6227
1935.5,1935,7,107499,4079
1935.583,1935,8,102284,3749
1935.667,1935,9,101778,5029
1935.75,1935,10,110003,7431
1935.833,1935,11,109642,8829
1935.917,1935,12,128886,15574
1936,1936,1,137461,20227
1936.083,1936,2,137724,23137
1936.167,1936,3,140419,23044
1936.25,1936,4,131420,18350
1936.333,1936,5,119302,11161
1936.417,1936,6,112164,6202
1936.5,1936,7,126085,4934
1936.583,1936,8,107088,4109
1936.667,1936,9,101494,4410
1936.75,1936,10,115594,8033
1936.833,1936,11,117397,11408
1936.917,1936,12,133080,18174
1937,1937,1,148907,28447
1937.083,1937,2,137604,27202
1937.167,1937,3,137512,20562
1937.25,1937,4,124438,14406
1937.333,1937,5,119681,9163
1937.417,1937,6,108155,5150
1937.5,1937,7,112280,4237
1937.583,1937,8,106689,4015
1937.667,1937,9,102330,4372
1937.75,1937,10,114255,7536
1937.833,1937,11,112304,9156
1937.917,1937,12,126272,13768
1938,1938,1,131369,16181
1938.083,1938,2,115621,13534
1938.167,1938,3,125980,13167
1938.25,1938,4,117322,9689
1938.333,1938,5,116329,7115
1938.417,1938,6,107192,4829
1938.5,1938,7,107852,3834
1938.583,1938,8,106288,3883
1938.667,1938,9,103027,4566
1938.75,1938,10,112636,6937
1938.833,1938,11,112055,8189
1938.917,1938,12,125720,12519
1939,1939,1,131373,15166
1939.083,1939,2,122149,14150
1939.167,1939,3,137171,17522
1939.25,1939,4,121207,10738
1939.333,1939,5,116256,6902
1939.417,1939,6,104624,3611
1939.5,1939,7,108452,3356
1939.583,1939,8,101731,3081
1939.667,1939,9,102725,3638
1939.75,1939,10,109122,4887
1939.833,1939,11,111536,6690
1939.917,1939,12,121551,9356
1940,1940,1,140940,15043
1940.083,1940,2,131131,15115
1940.167,1940,3,130399,11399
1940.25,1940,4,118489,8111
1940.333,1940,5,116121,5966
1940.417,1940,6,108006,3938
1940.5,1940,7,116605,3693
1940.583,1940,8,104317,3273
1940.667,1940,9,102909,3560
1940.75,1940,10,110401,4941
1940.833,1940,11,112665,6615
1940.917,1940,12,125286,10871
1941,1941,1,146094,19312
1941.083,1941,2,122570,12985
1941.167,1941,3,127462,10324
1941.25,1941,4,115931,6979
1941.333,1941,5,115473,4878
1941.417,1941,6,110755,3622
1941.5,1941,7,112412,3470
1941.583,1941,8,105863,3086
1941.667,1941,9,101304,3178
1941.75,1941,10,108962,4354
1941.833,1941,11,112762,5887
1941.917,1941,12,118054,6907
1942,1942,1,129164,9381
1942.083,1942,2,116104,9160
1942.167,1942,3,127776,10252
1942.25,1942,4,116206,7077
1942.333,1942,5,113873,5038
1942.417,1942,6,106641,3436
1942.5,1942,7,110240,3474
1942.583,1942,8,103373,3050
1942.667,1942,9,103756,3485
1942.75,1942,10,114528,5197
1942.833,1942,11,114623,5990
1942.917,1942,12,128903,8992
1943,1943,1,134337,10838
1943.083,1943,2,120485,9502
1943.167,1943,3,132628,10245
1943.25,1943,4,123258,8070
1943.333,1943,5,120807,6015
1943.417,1943,6,115317,4229
1943.5,1943,7,111970,3398
1943.583,1943,8,108583,3345
1943.667,1943,9,104084,3439
1943.75,1943,10,114739,5003
1943.833,1943,11,114266,6170
1943.917,1943,12,159070,19861
1944,1944,1,150487,19797
1944.083,1944,2,119970,9737
1944.167,1944,3,126050,8748
1944.25,1944,4,118376,6982
1944.333,1944,5,116238,5176
1944.417,1944,6,109908,3410
1944.5,1944,7,109101,3093
1944.583,1944,8,105815,3211
1944.667,1944,9,102044,3387
1944.75,1944,10,113622,4923
1944.833,1944,11,113570,5716
1944.917,1944,12,126157,7624
1945,1945,1,127687,8306
1945.083,1945,2,115587,7941
1945.167,1945,3,122458,7274
1945.25,1945,4,113800,5259
1945.333,1945,5,117181,4780
1945.417,1945,6,112051,3800
1945.5,1945,7,108350,3042
1945.583,1945,8,107626,3002
1945.667,1945,9,104136,3304
1945.75,1945,10,115397,4294
1945.833,1945,11,114265,5430
1945.917,1945,12,143181,11954
1946,1946,1,139416,11316
1946.083,1946,2,119898,8217
1946.167,1946,3,124101,6646
1946.25,1946,4,114662,4873
1946.333,1946,5,115979,4104
1946.417,1946,6,110106,3256
1946.5,1946,7,107740,2865
1946.583,1946,8,104882,2692
1946.667,1946,9,106055,3187
1946.75,1946,10,113416,4106
1946.833,1946,11,112981,4582
1946.917,1946,12,126381,6480
1947,1947,1,131559,7707
1947.083,1947,2,118285,6199
1947.167,1947,3,139489,9853
1947.25,1947,4,125103,7249
1947.333,1947,5,118976,4032
1947.417,1947,6,113232,3133
1947.5,1947,7,112199,2782
1947.583,1947,8,114118,3061
1947.667,1947,9,105721,2820
1947.75,1947,10,116289,3841
1947.833,1947,11,118522,4418
1947.917,1947,12,131877,6741
1948,1948,1,138240,8243
1948.083,1948,2,128158,7638
1948.167,1948,3,129842,6566
1948.25,1948,4,118730,4784
1948.333,1948,5,120403,3860
1948.417,1948,6,113901,3094
1948.5,1948,7,112814,2762
1948.583,1948,8,115418,3061
1948.667,1948,9,105053,2792
1948.75,1948,10,118744,4014
1948.833,1948,11,115173,4261
1948.917,1948,12,127861,5418
1949,1949,1,130586,5809
1949.083,1949,2,117537,5357
1949.167,1949,3,130340,5511
1949.25,1949,4,121713,4231
1949.333,1949,5,119808,3061
1949.417,1949,6,115801,2452
1949.5,1949,7,119012,2376
1949.583,1949,8,112874,2371
1949.667,1949,9,109856,2362
1949.75,1949,10,117852,3060
1949.833,1949,11,119867,3504
1949.917,1949,12,128361,4546
1950,1950,1,128348,5199
1950.083,1950,2,117286,4937
1950.167,1950,3,139976,7772
1950.25,1950,4,125929,5410
1950.333,1950,5,121574,3515
1950.417,1950,6,116060,2659
1950.5,1950,7,112559,2008
1950.583,1950,8,110338,2012
1950.667,1950,9,109993,2378
1950.75,1950,10,119028,3012
1950.833,1950,11,119412,3445
1950.917,1950,12,131951,4773
1951,1951,1,131467,5315
1951.083,1951,2,124455,6012
1951.167,1951,3,140324,7750
1951.25,1951,4,125339,5160
1951.333,1951,5,122518,3239
1951.417,1951,6,115633,2485
1951.5,1951,7,118134,2358
1951.583,1951,8,114628,2218
1951.667,1951,9,110277,2237
1951.75,1951,10,120481,2865
1951.833,1951,11,124661,3720
1951.917,1951,12,134182,4810
1952,1952,1,132784,5376
1952.083,1952,2,126322,5440
1952.167,1952,3,138487,6705
1952.25,1952,4,124977,4331
1952.333,1952,5,123246,3039
1952.417,1952,6,127427,2957
1952.5,1952,7,120516,2443
1952.583,1952,8,112914,2177
1952.667,1952,9,110581,2192
1952.75,1952,10,123998,3108
1952.833,1952,11,123109,3744
1952.917,1952,12,132477,4753
1953,1953,1,147203,9180
1953.083,1953,2,137213,10101
1953.167,1953,3,132450,5548
1953.25,1953,4,123586,3540
1953.333,1953,5,124480,2872
1953.417,1953,6,122995,2555
1953.5,1953,7,118877,2313
1953.583,1953,8,117050,2273
1953.667,1953,9,115952,2618
1953.75,1953,10,120798,2899
1953.833,1953,11,123209,3688
1953.917,1953,12,133728,4651
1954,1954,1,136016,5222
1954.083,1954,2,117020,3866
1954.167,1954,3,128011,4054
1954.25,1954,4,121148,3566
1954.333,1954,5,124492,2931
1954.417,1954,6,121389,2760
1954.5,1954,7,124203,2549
1954.583,1954,8,113673,2244
1954.667,1954,9,112290,2294
1954.75,1954,10,121734,3039
1954.833,1954,11,124996,3658
1954.917,1954,12,136119,4808
1955,1955,1,137487,5481
1955.083,1955,2,125920,5270
1955.167,1955,3,130508,4321
1955.25,1955,4,125188,3505
1955.333,1955,5,125756,2961
1955.417,1955,6,119598,2477
1955.5,1955,7,130730,3012
1955.583,1955,8,122858,2832
1955.667,1955,9,115330,2442
1955.75,1955,10,125697,3169
1955.833,1955,11,128683,3953
1955.917,1955,12,140962,5087
1956,1956,1,141454,5706
1956.083,1956,2,128654,4831
1956.167,1956,3,139496,5250
1956.25,1956,4,131936,4370
1956.333,1956,5,130261,3574
1956.417,1956,6,126328,3026
1956.5,1956,7,123261,2512
1956.583,1956,8,123720,2679
1956.667,1956,9,120061,2751
1956.75,1956,10,128363,3460
1956.833,1956,11,130856,4019
1956.917,1956,12,140086,4925
1957,1957,1,145338,5751
1957.083,1957,2,125852,4855
1957.167,1957,3,140363,5180
1957.25,1957,4,132151,4209
1957.333,1957,5,131920,3248
1957.417,1957,6,131698,3243
1957.5,1957,7,131610,3140
1957.583,1957,8,124433,2857
1957.667,1957,9,123536,3291
1957.75,1957,10,148985,8594
1957.833,1957,11,148487,9737
1957.917,1957,12,148755,6896
1958,1958,1,156658,7596
1958.083,1958,2,147494,8051
1958.167,1958,3,148211,7183
1958.25,1958,4,135585,4889
1958.333,1958,5,133940,3713
1958.417,1958,6,127975,3094
1958.5,1958,7,129194,3085
1958.583,1958,8,125442,2911
1958.667,1958,9,122915,2987
1958.75,1958,10,135358,3920
1958.833,1958,11,134629,4171
1958.917,1958,12,150485,5839
1959,1959,1,151950,6439
1959.083,1959,2,131023,5115
1959.167,1959,3,146931,5837
1959.25,1959,4,140670,5633
1959.333,1959,5,139280,4388
1959.417,1959,6,132861,3397
1959.5,1959,7,132614,3251
1959.583,1959,8,133325,3585
1959.667,1959,9,126087,3291
1959.75,1959,10,134257,3809
1959.833,1959,11,139072,4560
1959.917,1959,12,148744,5734
1960,1960,1,163833,9674
1960.083,1960,2,158754,12500
1960.167,1960,3,153997,8107
1960.25,1960,4,136415,4613
1960.333,1960,5,138786,3948
1960.417,1960,6,132461,3374
1960.5,1960,7,133372,3255
1960.583,1960,8,130004,3120
1960.667,1960,9,128012,3325
1960.75,1960,10,141073,4264
1960.833,1960,11,139513,4568
1960.917,1960,12,155762,6055
1961,1961,1,153942,6531
1961.083,1961,2,136268,5424
1961.167,1961,3,144788,5318
1961.25,1961,4,141426,4747
1961.333,1961,5,141434,3962
1961.417,1961,6,135768,3497
1961.5,1961,7,138833,3435
1961.583,1961,8,134014,3186
1961.667,1961,9,132252,3616
1961.75,1961,10,143225,4536
1961.833,1961,11,142427,4720
1961.917,1961,12,157145,6203
1962,1962,1,163043,7794
1962.083,1962,2,145450,7093
1962.167,1962,3,157564,6752
1962.25,1962,4,146081,5084
1962.333,1962,5,145923,4234
1962.417,1962,6,136557,3453
1962.5,1962,7,139301,3405
1962.583,1962,8,138371,3520
1962.667,1962,9,133417,3375
1962.75,1962,10,145250,4437
1962.833,1962,11,145622,4811
1962.917,1962,12,160141,6037
1963,1963,1,165843,7286
1963.083,1963,2,161099,10362
1963.167,1963,3,176287,12758
1963.25,1963,4,147674,5641
1963.333,1963,5,145934,4122
1963.417,1963,6,143523,3857
1963.5,1963,7,144493,3916
1963.583,1963,8,137149,3406
1963.667,1963,9,135854,3564
1963.75,1963,10,145083,4347
1963.833,1963,11,144206,4677
1963.917,1963,12,166404,6825
1964,1964,1,163239,7215
1964.083,1964,2,147295,5654
1964.167,1964,3,156485,6070
1964.25,1964,4,145168,5034
1964.333,1964,5,148832,4327
1964.417,1964,6,146198,3854
1964.5,1964,7,148602,3965
1964.583,1964,8,143487,3737
1964.667,1964,9,137161,3619
1964.75,1964,10,152158,4910
1964.833,1964,11,148104,4883
1964.917,1964,12,161322,6183
1965,1965,1,164856,6694
1965.083,1965,2,153574,7403
1965.167,1965,3,165064,7424
1965.25,1965,4,150285,5147
1965.333,1965,5,150759,4194
1965.417,1965,6,144288,3749
1965.5,1965,7,146784,3773
1965.583,1965,8,143279,3740
1965.667,1965,9,139821,3579
1965.75,1965,10,153031,4887
1965.833,1965,11,152106,5103
1965.917,1965,12,164289,6210
1966,1966,1,166761,6539
1966.083,1966,2,151296,6861
1966.167,1966,3,164804,7576
1966.25,1966,4,158973,6578
1966.333,1966,5,156455,5040
1966.417,1966,6,149251,4088
1966.5,1966,7,159924,4975
1966.583,1966,8,145184,3575
1966.667,1966,9,141164,3575
1966.75,1966,10,154777,4579
1966.833,1966,11,150678,4712
1966.917,1966,12,163882,5517
1967,1967,1,164437,6139
1967.083,1967,2,147997,5365
1967.167,1967,3,161194,5664
1967.25,1967,4,150379,4580
1967.333,1967,5,156406,4486
1967.417,1967,6,147199,3822
1967.5,1967,7,149767,3619
1967.583,1967,8,146488,3517
1967.667,1967,9,144669,3538
1967.75,1967,10,154460,4327
1967.833,1967,11,155913,4733
1967.917,1967,12,172414,7102
1968,1968,1,195655,13677
1968.083,1968,2,157880,7034
1968.167,1968,3,161920,5765
1968.25,1968,4,150924,4534
1968.333,1968,5,154587,4200
1968.417,1968,6,150891,4134
1968.5,1968,7,153950,4176
1968.583,1968,8,153199,4155
1968.667,1968,9,145116,3742
1968.75,1968,10,155201,4432
1968.833,1968,11,159030,5227
1968.917,1968,12,191729,12416
1969,1969,1,186145,13985
1969.083,1969,2,151914,6752
1969.167,1969,3,167774,6555
1969.25,1969,4,155476,4833
1969.333,1969,5,158903,4377
1969.417,1969,6,153241,3930
1969.5,1969,7,157205,4279
1969.583,1969,8,153330,3915
1969.667,1969,9,146388,3883
1969.75,1969,10,158773,4610
1969.833,1969,11,159831,5050
1969.917,1969,12,173010,6196
1970,1970,1,183429,8511
1970.083,1970,2,161483,8878
1970.167,1970,3,164034,6211
1970.25,1970,4,155005,4590
1970.333,1970,5,157479,4199
1970.417,1970,6,151543,3760
1970.5,1970,7,157668,3957
1970.583,1970,8,153617,3966
1970.667,1970,9,148296,3840
1970.75,1970,10,159420,4489
1970.833,1970,11,159878,4907
1970.917,1970,12,169179,5431
1971,1971,1,174980,6519
1971.083,1971,2,157004,5899
1971.167,1971,3,167719,5929
1971.25,1971,4,159869,4917
1971.333,1971,5,160099,4202
1971.417,1971,6,155658,3842
1971.5,1971,7,155597,3738
1971.583,1971,8,153770,3636
1971.667,1971,9,148563,3565
1971.75,1971,10,160474,4328
1971.833,1971,11,160402,4709
1971.917,1971,12,173407,5910
1972,1972,1,192694,11208
1972.083,1972,2,168526,8542
1972.167,1972,3,163162,5220
1972.25,1972,4,156550,4282
1972.333,1972,5,159488,3778
1972.417,1972,6,152412,3350
1972.5,1972,7,163230,4134
1972.583,1972,8,156924,3698
1972.667,1972,9,150058,3722
1972.75,1972,10,162980,4332
1972.833,1972,11,160464,4372
1972.917,1972,12,177456,5942
1973,1973,1,191543,10601
1973.083,1973,2,163628,8278
1973.167,1973,3,165855,5486
1973.25,1973,4,159831,4424
1973.333,1973,5,162897,3907
1973.417,1973,6,157424,3720
1973.5,1973,7,160851,3994
1973.583,1973,8,158864,3955
1973.667,1973,9,155056,4125
1973.75,1973,10,162550,4516
1973.833,1973,11,161617,4506
1973.917,1973,12,172887,5047
1974,1974,1,172015,5541
1974.083,1974,2,156000,5386
1974.167,1974,3,172120,6264
1974.25,1974,4,164415,5319
1974.333,1974,5,160092,4014
1974.417,1974,6,153410,3525
1974.5,1974,7,160465,4006
1974.583,1974,8,152381,3398
1974.667,1974,9,151250,3476
1974.75,1974,10,162218,4085
1974.833,1974,11,156735,4000
1974.917,1974,12,173287,5763
1975,1975,1,182594,8903
1975.083,1975,2,161324,7705
1975.167,1975,3,165118,5585
1975.25,1975,4,153607,4096
1975.333,1975,5,155822,3627
1975.417,1975,6,149514,3338
1975.5,1975,7,153773,3398
1975.583,1975,8,152398,3607
1975.667,1975,9,146846,3349
1975.75,1975,10,155304,3832
1975.833,1975,11,151641,3663
1975.917,1975,12,164938,4561
1976,1976,1,169042,5263
1976.083,1976,2,173348,9676
1976.167,1976,3,179968,11586
1976.25,1976,4,157791,5509
1976.333,1976,5,154777,3720
1976.417,1976,6,148111,3315
1976.5,1976,7,151290,3269
1976.583,1976,8,148270,3397
1976.667,1976,9,144363,3297
1976.75,1976,10,157120,3931
1976.833,1976,11,156885,4210
1976.917,1976,12,168475,4693
1977,1977,1,173237,5157
1977.083,1977,2,153250,5013
1977.167,1977,3,166271,5342
1977.25,1977,4,155722,4353
1977.333,1977,5,157732,3763
1977.417,1977,6,148936,3279
1977.5,1977,7,157827,3760
1977.583,1977,8,150456,3362
1977.667,1977,9,146901,3492
1977.75,1977,10,160252,4059
1977.833,1977,11,154891,4013
1977.917,1977,12,174122,5600
1978,1978,1,196451,10541
1978.083,1978,2,161760,7256
1978.167,1978,3,164522,5219
1978.25,1978,4,153864,4260
1978.333,1978,5,159055,4061
1978.417,1978,6,151105,3411
1978.5,1978,7,155022,3568
1978.583,1978,8,151247,3435
1978.667,1978,9,148691,3489
1978.75,1978,10,160511,4252
1978.833,1978,11,155718,4051
1978.917,1978,12,169842,4776
1979,1979,1,172561,5024
1979.083,1979,2,152776,4013
1979.167,1979,3,163561,4003
