# Weekly All Cause, Pneumonia, and Influenza Mortality for London, United Kingdom from 1842-1950.
# This spreadsheet was created 28 March 2011 by Kelly Hancock.
# From the 13th week of 1902 until the end of 1910 ""pneumonia"" becomes a summation of lobar, broncho, epidemic and not defined.
# From 1910 until 1940 ""pneumonia"" becomes a summation of broncho pneumonia, lobar pneumonia, and pneumonia type not distinguished.
# From 1940 on pneumonia is entered as pneumonia all forms and no longer requires summation.
year.from,month.from,day.from,year.to,month.to,day.to,week.number,numdate,death.all.causes.all.ages,influenza,pneumonia,,,,
1844,2,24,1844,3,2,9,1844.1698630137,1055,6,96,,,,
1844,3,2,1844,3,9,10,1844.18904109589,1029,7,113,,,,
1844,3,9,1844,3,16,11,1844.20821917808,988,3,82,,,,
1844,3,16,1844,3,23,12,1844.22739726027,973,4,78,,,,
1844,3,23,1844,3,30,13,1844.24657534247,1070,9,70,,,,
1844,3,30,1844,4,6,14,1844.26575342466,914,4,61,,,,
1844,4,6,1844,4,13,15,1844.28493150685,868,6,55,,,,
1844,4,13,1844,4,20,16,1844.30410958904,844,2,57,,,,
1844,4,20,1844,4,27,17,1844.32328767123,880,3,41,,,,
1844,4,27,1844,5,4,18,1844.34246575342,877,1,67,,,,
1844,5,4,1844,5,11,19,1844.36164383562,809,3,54,,,,
1844,5,11,1844,5,18,20,1844.38082191781,861,2,50,,,,
1844,5,18,1844,5,25,21,1844.4,876,4,62,,,,
1844,5,25,1844,6,1,22,1844.41917808219,883,0,49,,,,
1844,6,1,1844,6,8,23,1844.43835616438,899,1,54,,,,
1844,6,8,1844,6,15,24,1844.45753424658,855,1,57,,,,
1844,6,15,1844,6,22,25,1844.47671232877,919,1,66,,,,
1844,6,22,1844,6,29,26,1844.49589041096,963,0,42,,,,
1844,6,29,1844,7,6,27,1844.51506849315,870,2,43,,,,
1844,7,6,1844,7,13,28,1844.53424657534,830,0,47,,,,
1844,7,13,1844,7,20,29,1844.55342465753,893,0,43,,,,
1844,7,20,1844,7,27,30,1844.57260273973,1064,1,50,,,,
1844,7,27,1844,8,3,31,1844.59178082192,1011,0,54,,,,
1844,8,3,1844,8,10,32,1844.61095890411,934,0,36,,,,
1844,8,10,1844,8,17,33,1844.6301369863,932,1,52,,,,
1844,8,17,1844,8,24,34,1844.64931506849,935,0,49,,,,
1844,8,24,1844,8,31,35,1844.66849315068,798,0,50,,,,
1844,8,31,1844,9,7,36,1844.68767123288,913,1,51,,,,
1844,9,7,1844,9,14,37,1844.70684931507,842,3,46,,,,
1844,9,14,1844,9,21,38,1844.72602739726,857,0,37,,,,
1844,9,21,1844,9,28,39,1844.74520547945,931,0,59,,,,
1844,9,28,1844,10,5,40,1844.76438356164,961,1,64,,,,
1844,10,5,1844,10,12,41,1844.78356164384,1017,3,83,,,,
1844,10,12,1844,10,19,42,1844.80273972603,895,3,74,,,,
1844,10,19,1844,10,26,43,1844.82191780822,935,1,83,,,,
1844,10,26,1844,11,2,44,1844.84109589041,965,2,97,,,,
1844,11,2,1844,11,9,45,1844.8602739726,984,4,110,,,,
1844,11,9,1844,11,16,46,1844.87945205479,1066,2,101,,,,
1844,11,16,1844,11,23,47,1844.89863013699,913,5,118,,,,
1844,11,23,1844,11,30,48,1844.91780821918,1074,2,120,,,,
1844,11,30,1844,12,7,49,1844.93698630137,988,1,127,,,,
1844,12,7,1844,12,14,50,1844.95616438356,1201,4,145,,,,
1844,12,14,1844,12,21,51,1844.97534246575,1392,3,163,,,,
1844,12,21,1844,12,28,52,1844.99452054795,1249,1,120,,,,
1844,12,28,1845,1,4,1,1845.01369863014,1416,3,140,,,,
1845,1,4,1845,1,11,2,1845.0301369863,1109,4,120,,,,
1845,1,11,1845,1,18,3,1845.04931506849,1010,3,89,,,,
1845,1,18,1845,1,25,4,1845.06849315068,1002,3,75,,,,
1845,1,25,1845,2,1,5,1845.08767123288,1011,3,79,,,,
1845,2,1,1845,2,8,6,1845.10684931507,1018,1,84,,,,
1845,2,8,1845,2,15,7,1845.12602739726,1112,3,92,,,,
1845,2,15,1845,2,22,8,1845.14520547945,1119,3,104,,,,
1845,2,22,1845,3,1,9,1845.16438356164,1133,1,111,,,,
1845,3,1,1845,3,8,10,1845.18356164384,1139,3,108,,,,
1845,3,8,1845,3,15,11,1845.20273972603,1068,1,101,,,,
1845,3,15,1845,3,22,12,1845.22191780822,1195,3,89,,,,
1845,3,22,1845,3,29,13,1845.24109589041,1186,3,104,,,,
1845,3,29,1845,4,5,14,1845.2602739726,948,1,86,,,,
1845,4,5,1845,4,12,15,1845.27945205479,905,1,84,,,,
1845,4,12,1845,4,19,16,1845.29863013699,926,1,81,,,,
1845,4,19,1845,4,26,17,1845.31780821918,904,1,78,,,,
1845,4,26,1845,5,3,18,1845.33698630137,882,2,60,,,,
1845,5,3,1845,5,10,19,1845.35616438356,829,0,55,,,,
1845,5,10,1845,5,17,20,1845.37534246575,835,3,63,,,,
1845,5,17,1845,5,24,21,1845.39452054795,808,0,53,,,,
1845,5,24,1845,5,31,22,1845.41369863014,905,0,75,,,,
1845,5,31,1845,6,7,23,1845.43287671233,837,0,69,,,,
1845,6,7,1845,6,14,24,1845.45205479452,844,0,58,,,,
1845,6,14,1845,6,21,25,1845.47123287671,800,1,49,,,,
1845,6,21,1845,6,28,26,1845.4904109589,829,1,58,,,,
1845,6,28,1845,7,5,27,1845.5095890411,803,0,49,,,,
1845,7,5,1845,7,12,28,1845.52876712329,775,0,48,,,,
1845,7,12,1845,7,19,29,1845.54794520548,866,1,58,,,,
1845,7,19,1845,7,26,30,1845.56712328767,872,1,63,,,,
1845,7,26,1845,8,2,31,1845.58630136986,826,0,46,,,,
1845,8,2,1845,8,9,32,1845.60547945205,915,0,52,,,,
1845,8,9,1845,8,16,33,1845.62465753425,864,1,57,,,,
1845,8,16,1845,8,23,34,1845.64383561644,844,1,40,,,,
1845,8,23,1845,8,30,35,1845.66301369863,835,0,38,,,,
1845,8,30,1845,9,6,36,1845.68219178082,761,1,47,,,,
1845,9,6,1845,9,13,37,1845.70136986301,839,0,31,,,,
1845,9,13,1845,9,20,38,1845.72054794521,774,1,27,,,,
1845,9,20,1845,9,27,39,1845.7397260274,857,2,44,,,,
1845,9,27,1845,10,4,40,1845.75890410959,852,0,49,,,,
1845,10,4,1845,10,11,41,1845.77808219178,783,0,45,,,,
1845,10,11,1845,10,18,42,1845.79726027397,767,0,49,,,,
1845,10,18,1845,10,25,43,1845.81643835616,773,1,67,,,,
1845,10,25,1845,11,1,44,1845.83561643836,946,1,90,,,,
1845,11,1,1845,11,8,45,1845.85479452055,944,3,95,,,,
1845,11,8,1845,11,15,46,1845.87397260274,940,1,113,,,,
1845,11,15,1845,11,22,47,1845.89315068493,908,3,90,,,,
1845,11,22,1845,11,29,48,1845.91232876712,963,2,106,,,,
1845,11,29,1845,12,6,49,1845.93150684932,962,3,122,,,,
1845,12,6,1845,12,13,50,1845.95068493151,967,2,101,,,,
1845,12,13,1845,12,20,51,1845.9698630137,961,3,106,,,,
1845,12,20,1845,12,27,52,1845.98904109589,910,1,98,,,,
1845,12,27,1846,1,3,1,1846.00821917808,1152,2,76,,,,
1846,1,3,1846,1,10,2,1846.02739726027,972,1,89,,,,
1846,1,10,1846,1,17,3,1846.04657534247,1043,2,91,,,,
1846,1,17,1846,1,24,4,1846.06575342466,907,2,81,,,,
1846,1,24,1846,1,31,5,1846.08493150685,900,2,75,,,,
1846,1,31,1846,2,7,6,1846.10410958904,914,0,71,,,,
1846,2,7,1846,2,14,7,1846.12328767123,911,1,56,,,,
1846,2,14,1846,2,21,8,1846.14246575342,950,0,64,,,,
1846,2,21,1846,2,28,9,1846.16164383562,913,2,58,,,,
1846,2,28,1846,3,7,10,1846.18082191781,859,2,66,,,,
1846,3,7,1846,3,14,11,1846.2,902,3,68,,,,
1846,3,14,1846,3,21,12,1846.21917808219,878,4,70,,,,
1846,3,21,1846,3,28,13,1846.23835616438,1064,1,81,,,,
1846,3,28,1846,4,4,14,1846.25753424658,1028,1,90,,,,
1846,4,4,1846,4,11,15,1846.27671232877,864,4,49,,,,
1846,4,11,1846,4,18,16,1846.29589041096,965,1,73,,,,
1846,4,18,1846,4,25,17,1846.31506849315,855,0,53,,,,
1846,4,25,1846,5,2,18,1846.33424657534,829,1,69,,,,
1846,5,2,1846,5,9,19,1846.35342465753,841,1,59,,,,
1846,5,9,1846,5,16,20,1846.37260273973,838,1,54,,,,
1846,5,16,1846,5,23,21,1846.39178082192,860,2,48,,,,
1846,5,23,1846,5,30,22,1846.41095890411,835,3,39,,,,
1846,5,30,1846,6,6,23,1846.4301369863,832,0,50,,,,
1846,6,6,1846,6,13,24,1846.44931506849,819,3,50,,,,
1846,6,13,1846,6,20,25,1846.46849315068,808,2,34,,,,
1846,6,20,1846,6,27,26,1846.48767123288,889,2,37,,,,
1846,6,27,1846,7,4,27,1846.50684931507,972,2,38,,,,
1846,7,4,1846,7,11,28,1846.52602739726,899,0,30,,,,
1846,7,11,1846,7,18,29,1846.54520547945,1052,0,35,,,,
1846,7,18,1846,7,25,30,1846.56438356164,993,1,27,,,,
1846,7,25,1846,8,1,31,1846.58356164384,1085,1,35,,,,
1846,8,1,1846,8,8,32,1846.60273972603,1134,0,38,,,,
1846,8,8,1846,8,15,33,1846.62191780822,965,0,18,,,,
1846,8,15,1846,8,22,34,1846.64109589041,901,0,30,,,,
1846,8,22,1846,8,29,35,1846.6602739726,889,1,25,,,,
1846,8,29,1846,9,5,36,1846.67945205479,883,0,24,,,,
1846,9,5,1846,9,12,37,1846.69863013699,944,0,33,,,,
1846,9,12,1846,9,19,38,1846.71780821918,862,1,30,,,,
1846,9,19,1846,9,26,39,1846.73698630137,808,0,36,,,,
1846,9,26,1846,10,3,40,1846.75616438356,933,1,52,,,,
1846,10,3,1846,10,10,41,1846.77534246575,903,0,54,,,,
1846,10,10,1846,10,17,42,1846.79452054795,820,1,56,,,,
1846,10,17,1846,10,24,43,1846.81369863014,881,0,52,,,,
1846,10,24,1846,10,31,44,1846.83287671233,976,1,63,,,,
1846,10,31,1846,11,7,45,1846.85205479452,942,6,72,,,,
1846,11,7,1846,11,14,46,1846.87123287671,916,4,69,,,,
1846,11,14,1846,11,21,47,1846.8904109589,966,5,97,,,,
1846,11,21,1846,11,28,48,1846.9095890411,938,9,83,,,,
1846,11,28,1846,12,5,49,1846.92876712329,1049,8,99,,,,
1846,12,5,1846,12,12,50,1846.94794520548,1162,11,114,,,,
1846,12,12,1846,12,19,51,1846.96712328767,1262,9,144,,,,
1846,12,19,1846,12,26,52,1846.98630136986,1267,11,146,,,,
1846,12,26,1847,1,2,1,1847.00547945205,1509,8,133,,,,
1847,1,2,1847,1,9,2,1847.02465753425,1385,4,136,,,,
1847,1,9,1847,1,16,3,1847.04383561644,1290,10,128,,,,
1847,1,16,1847,1,23,4,1847.06301369863,1225,7,118,,,,
1847,1,23,1847,1,31,5,1847.08493150685,1153,8,126,,,,
1847,1,31,1847,2,6,6,1847.10136986301,1102,4,114,,,,
1847,2,6,1847,2,13,7,1847.12054794521,1147,4,116,,,,
1847,2,13,1847,2,20,8,1847.1397260274,1253,6,125,,,,
1847,2,20,1847,2,27,9,1847.15890410959,1044,1,83,,,,
1847,2,27,1847,3,6,10,1847.17808219178,1008,4,97,,,,
1847,3,6,1847,3,13,11,1847.19726027397,1026,0,65,,,,
1847,3,13,1847,3,20,12,1847.21643835616,1111,5,77,,,,
1847,3,20,1847,3,27,13,1847.23561643836,1029,2,72,,,,
1847,3,27,1847,4,3,14,1847.25479452055,1003,4,57,,,,
1847,4,3,1847,4,10,15,1847.27397260274,1051,4,72,,,,
1847,4,10,1847,4,17,16,1847.29315068493,980,4,57,,,,
1847,4,17,1847,4,24,17,1847.31232876712,980,1,67,,,,
1847,4,24,1847,5,1,18,1847.33150684932,982,3,60,,,,
1847,5,1,1847,5,8,19,1847.35068493151,987,0,78,,,,
1847,5,8,1847,5,15,20,1847.3698630137,978,1,67,,,,
1847,5,15,1847,5,22,21,1847.38904109589,911,1,46,,,,
1847,5,22,1847,5,29,22,1847.40821917808,959,1,58,,,,
1847,5,29,1847,6,5,23,1847.42739726027,785,0,44,,,,
1847,6,5,1847,6,12,24,1847.44657534247,838,0,42,,,,
1847,6,12,1847,6,19,25,1847.46575342466,976,3,47,,,,
1847,6,19,1847,6,26,26,1847.48493150685,913,1,53,,,,
1847,6,26,1847,7,3,27,1847.50410958904,931,1,36,,,,
1847,7,3,1847,7,10,28,1847.52328767123,881,0,36,,,,
1847,7,10,1847,7,17,29,1847.54246575342,944,2,36,,,,
1847,7,17,1847,7,24,30,1847.56164383562,901,0,28,,,,
1847,7,24,1847,7,31,31,1847.58082191781,963,1,31,,,,
1847,7,31,1847,8,7,32,1847.6,997,0,21,,,,
1847,8,7,1847,8,14,33,1847.61917808219,1105,0,39,,,,
1847,8,14,1847,8,21,34,1847.63835616438,1057,0,25,,,,
1847,8,21,1847,8,28,35,1847.65753424658,1084,0,27,,,,
1847,8,28,1847,9,4,36,1847.67671232877,1050,1,34,,,,
1847,9,4,1847,9,11,37,1847.69589041096,1035,0,21,,,,
1847,9,11,1847,9,18,38,1847.71506849315,1168,1,36,,,,
1847,9,18,1847,9,25,39,1847.73424657534,1052,0,39,,,,
1847,9,25,1847,10,2,40,1847.75342465753,1140,2,47,,,,
1847,10,2,1847,10,9,41,1847.77260273973,1022,1,51,,,,
1847,10,9,1847,10,16,42,1847.79178082192,952,0,44,,,,
1847,10,16,1847,10,23,43,1847.81095890411,965,0,59,,,,
1847,10,23,1847,10,30,44,1847.8301369863,945,1,62,,,,
1847,10,30,1847,11,6,45,1847.84931506849,1052,2,68,,,,
1847,11,6,1847,11,13,46,1847.86849315069,1098,4,79,,,,
1847,11,13,1847,11,20,47,1847.88767123288,1085,4,95,,,,
1847,11,20,1847,11,27,48,1847.90684931507,1677,36,170,,,,
1847,11,27,1847,12,4,49,1847.92602739726,2454,198,306,,,,
1847,12,4,1847,12,11,50,1847.94520547945,2416,374,294,,,,
1847,12,11,1847,12,18,51,1847.96438356164,1945,270,189,,,,
1847,12,18,1847,12,25,52,1847.98356164384,1246,142,131,,,,
1847,12,25,1848,1,1,53,1848.00273972603,,,,,,,
1848,1,1,1848,1,8,1,1848.02191780822,1364,102,125,,,,
1848,1,8,1848,1,15,2,1848.04109589041,1455,102,158,,,,
1848,1,15,1848,1,22,3,1848.0602739726,1401,89,137,,,,
1848,1,22,1848,1,29,4,1848.07945205479,1456,56,156,,,,
1848,1,29,1848,2,5,5,1848.09863013699,1477,59,137,,,,
1848,2,5,1848,2,12,6,1848.11780821918,1324,47,129,,,,
1848,2,12,1848,2,19,7,1848.13698630137,1104,27,97,,,,
1848,2,19,1848,2,26,8,1848.15616438356,1145,33,89,,,,
1848,2,26,1848,3,4,9,1848.17534246575,1092,18,81,,,,
1848,3,4,1848,3,11,10,1848.19452054795,1070,11,72,,,,
1848,3,11,1848,3,18,11,1848.21369863014,1117,10,65,,,,
1848,3,18,1848,3,25,12,1848.23287671233,1097,16,79,,,,
1848,3,25,1848,4,1,13,1848.25205479452,1293,8,91,,,,
1848,4,1,1848,4,8,14,1848.27123287671,985,6,83,,,,
1848,4,8,1848,4,15,15,1848.2904109589,1045,9,81,,,,
1848,4,15,1848,4,22,16,1848.3095890411,991,11,69,,,,
1848,4,22,1848,4,29,17,1848.32876712329,966,7,72,,,,
1848,4,29,1848,5,6,18,1848.34794520548,1014,3,68,,,,
1848,5,6,1848,5,13,19,1848.36712328767,1049,0,79,,,,
1848,5,13,1848,5,20,20,1848.38630136986,969,1,50,,,,
1848,5,20,1848,5,27,21,1848.40547945205,979,4,32,,,,
1848,5,27,1848,6,3,22,1848.42465753425,930,2,52,,,,
1848,6,3,1848,6,10,23,1848.44383561644,937,2,40,,,,
1848,6,10,1848,6,17,24,1848.46301369863,1005,0,42,,,,
1848,6,17,1848,6,24,25,1848.48219178082,931,3,38,,,,
1848,6,24,1848,7,1,26,1848.50136986301,1096,2,26,,,,
1848,7,1,1848,7,8,27,1848.52054794521,969,1,27,,,,
1848,7,8,1848,7,15,28,1848.5397260274,930,1,22,,,,
1848,7,15,1848,7,22,29,1848.55890410959,1096,1,18,,,,
1848,7,22,1848,7,29,30,1848.57808219178,1200,0,27,,,,
1848,7,29,1848,8,5,31,1848.59726027397,1036,0,23,,,,
1848,8,5,1848,8,12,32,1848.61643835616,1057,0,22,,,,
1848,8,12,1848,8,19,33,1848.63561643836,1003,1,34,,,,
1848,8,19,1848,8,26,34,1848.65479452055,944,1,30,,,,
1848,8,26,1848,9,2,35,1848.67397260274,998,0,31,,,,
1848,9,2,1848,9,9,36,1848.69315068493,1019,0,35,,,,
1848,9,9,1848,9,16,37,1848.71232876712,926,0,29,,,,
1848,9,16,1848,9,23,38,1848.73150684932,1037,0,39,,,,
1848,9,23,1848,9,30,39,1848.75068493151,1255,2,51,,,,
1848,9,30,1848,10,7,40,1848.7698630137,998,2,58,,,,
1848,10,7,1848,10,14,41,1848.78904109589,990,1,51,,,,
1848,10,14,1848,10,21,42,1848.80821917808,983,1,43,,,,
1848,10,21,1848,10,28,43,1848.82739726027,1106,0,51,,,,
1848,10,28,1848,11,4,44,1848.84657534247,1114,3,57,,,,
1848,11,4,1848,11,11,45,1848.86575342466,1152,0,63,,,,
1848,11,11,1848,11,18,46,1848.88493150685,1187,0,85,,,,
1848,11,18,1848,11,25,47,1848.90410958904,1206,1,97,,,,
1848,11,25,1848,12,2,48,1848.92328767123,1167,3,85,,,,
1848,12,2,1848,12,9,49,1848.94246575342,1146,3,84,,,,
1848,12,9,1848,12,16,50,1848.96164383562,1129,2,86,,,,
1848,12,16,1848,12,23,51,1848.98082191781,1116,5,83,,,,
1848,12,23,1848,12,30,52,1849,1402,3,120,,,,
1848,12,30,1849,1,6,1,1849.01917808219,1127,5,84,,,,
1849,1,6,1849,1,13,2,1849.03561643836,1442,5,125,,,,
1849,1,13,1849,1,20,3,1849.05479452055,1340,5,111,,,,
1849,1,20,1849,1,27,4,1849.07397260274,1200,2,95,,,,
1849,1,27,1849,2,3,5,1849.09315068493,1116,7,91,,,,
1849,2,3,1849,2,10,6,1849.11232876712,1194,4,103,,,,
1849,2,10,1849,2,17,7,1849.13150684931,1223,7,93,,,,
1849,2,17,1849,2,24,8,1849.15068493151,1175,2,88,,,,
1849,2,24,1849,3,3,9,1849.1698630137,1138,5,81,,,,
1849,3,3,1849,3,10,10,1849.18904109589,1046,4,89,,,,
1849,3,10,1849,3,17,11,1849.20821917808,1075,1,86,,,,
1849,3,17,1849,3,24,12,1849.22739726027,1046,5,78,,,,
1849,3,24,1849,3,31,13,1849.24657534247,1241,1,78,,,,
1849,3,31,1849,4,7,14,1849.26575342466,994,1,87,,,,
1849,4,7,1849,4,14,15,1849.28493150685,1065,2,79,,,,
1849,4,14,1849,4,21,16,1849.30410958904,1077,3,69,,,,
1849,4,21,1849,4,28,17,1849.32328767123,1043,3,65,,,,
1849,4,28,1849,5,5,18,1849.34246575342,985,2,77,,,,
1849,5,5,1849,5,12,19,1849.36164383562,902,0,66,,,,
1849,5,12,1849,5,19,20,1849.38082191781,1033,2,86,,,,
1849,5,19,1849,5,26,21,1849.4,896,1,61,,,,
1849,5,26,1849,6,2,22,1849.41917808219,894,0,56,,,,
1849,6,2,1849,6,9,23,1849.43835616438,971,0,39,,,,
1849,6,9,1849,6,16,24,1849.45753424658,911,0,34,,,,
1849,6,16,1849,6,23,25,1849.47671232877,979,1,57,,,,
1849,6,23,1849,6,30,26,1849.49589041096,1215,1,39,,,,
