location,location_type,iso_3166,iso_3166_2
"Bécancour, village",municipality,,
"Bécancourt, paroisse",municipality,,
Bégon,municipality,,
CANADA,,CA,
CANADA,country,CA,
Cabano,municipality,,
Cacouana,municipality,,
"Cacouna, paroisse",municipality,,
"Cacouna, village",municipality,,
Cacounam village,municipality,,
Calument Island,municipality,,
Calumet,municipality,,
Calumet Island,municipality,,
"Calumet, village",municipality,,
Cameron,municipality,,
Campbell's Bay,municipality,,
Campbell's Est (East),municipality,,
"Campbell, canton",municipality,,
"Campbell, partie Est",municipality,,
Campbells Bay,municipality,,
Canada,,CA,
Canada,country,CA,
Canada,can,CA,
Canrobert,municipality,,
Cap Chat,municipality,,
"Cap Madeleine, ville",municipality,,
Cap Rouge,municipality,,
Cap Sante,municipality,,
Cap Santé,municipality,,
Cap St-Ignace,municipality,,
Cap St-Ignance,municipality,,
Cap a l'Aigle,municipality,,
Cap de Madeleine,municipality,,
Cap de la Madelein,municipality,,
Cap de la Madeleine,municipality,,
Cap de la Madeleine ville,municipality,,
"Cap de la Madeleine, ville",municipality,,
Cap des Rosiers,municipality,,
Cap-de-la-Madeleine,municipality,,
Cap-des-Rosiers,municipality,,
Cape Cove,municipality,,
Carillon,municipality,,
Carleton,municipality,,
Carpentier & Courville,municipality,,
Cartierville,municipality,,
Caughnawaga,municipality,,
Causapscal,municipality,,
Chambly Bassin,municipality,,
"Chambly, canton (township)",municipality,,
"Chambly, village",municipality,,
Chambord,municipality,,
Chambord (chantiers),municipality,,
"Champlain, paroisse (parish)",municipality,,
"Champlain, village",municipality,,
Chandler,municipality,,
Chanler,municipality,,
"Chanteauguay, paroisse (parish)",municipality,,
Charlemagne,municipality,,
Charlemgne,municipality,,
Charlesbourg,municipality,,
Charny,municipality,,
Chateau Richer,municipality,,
Chateau-Richer,municipality,,
"Chateauguay, paroisse",municipality,,
"Chateauguay, ville",municipality,,
Chateay Richer,municipality,,
Chatham,municipality,,
"Chatham, canton (township)",municipality,,
Cheneville,municipality,,
Chenier,municipality,,
Chesham,municipality,,
"Cheshman, canton (township)",municipality,,
"Chesman, cant (town)",municipality,,
Chester Ouest,municipality,,
Chichester,municipality,,
Chichoutimi,municipality,,
Chicoutimi,municipality,,
"Chicoutimi, canton (township)",municipality,,
"Chicoutimi, ville",municipality,,
"Chicoutimi, ville (town)",municipality,,
"Chicoutimi, ville - town",municipality,,
"Chicoutimi, ville -town",municipality,,
"Chitoucimi, ville (town)",municipality,,
Chlorydorme,municipality,,
Chénier,municipality,,
Chénéville,municipality,,
"Cilfton, caonton",municipality,,
Claredon,municipality,,
Clarenceville,municipality,,
"Clarenceville, paroisse",municipality,,
Clarendon,municipality,,
Cleveland,municipality,,
Clifton,municipality,,
Clifton Est,municipality,,
"Clifton, partie Est",municipality,,
Clyde,municipality,,
Coaticook,municipality,,
"Coaticook, ville - town",municipality,,
Como Est,municipality,,
"Como, village",municipality,,
Compton,municipality,,
"Compton, c'ton - t'ship",municipality,,
"Compton, canton",municipality,,
"Compton, village",municipality,,
"Comton, canton",municipality,,
"Comton, village",municipality,,
Contrecoeur,municipality,,
"Contrecoeur, paroisse",municipality,,
"Contrecoeur, village",municipality,,
Cookshire,municipality,,
Cote St-Luc,municipality,,
Coteau Station,municipality,,
Coteau-du-Lac,municipality,,
Courcelles,municipality,,
Courville,municipality,,
"Courville, village",municipality,,
Couville,municipality,,
Cowansville,municipality,,
Côte St-Luc,municipality,,
D'Israeli,municipality,,
"D'Israeli, par",municipality,,
"D'Israeli, village",municipality,,
"D'Israéli, village",municipality,,
Dabville,municipality,,
Dalibaire,municipality,,
Danville,municipality,,
Daveluyville,municipality,,
De Lery,municipality,,
"De Lery, ville - town",municipality,,
De Léry,municipality,,
De Saaberry et Grandison,municipality,,
De Salaberry & Grandison,municipality,,
De Salaberry et Grandison,municipality,,
De Saleberry,municipality,,
DeSalaberry & Grandison,municipality,,
DeSalaberry et Grandison,municipality,,
Delson,municipality,,
Deschaillons,municipality,,
Deschallions,municipality,,
Deschambault,municipality,,
Deux-Rivieres,municipality,,
Disraeli,municipality,,
"Disraeli, village",municipality,,
"Disraéli, village",municipality,,
Ditchfield et Spaulding,municipality,,
Ditton,municipality,,
Dixville,municipality,,
Donacona,municipality,,
Doncaster,municipality,,
Donnacona,municipality,,
Dorion,municipality,,
Dorion Ville,municipality,,
"Dorion, town",municipality,,
"Dorion, village",municipality,,
"Dorion, ville",municipality,,
"Dorion,ville",municipality,,
Dorval,municipality,,
"Dorval, ville",municipality,,
Douglas Ouest,municipality,,
Douglass-Est (East),municipality,,
Douglass-Ouest (West),municipality,,
"Druham, Sud (South)",municipality,,
Drummondville,municipality,,
Dudswell,municipality,,
Duhamel Ouest,municipality,,
Dundee,municipality,,
Dunham,municipality,,
"Dunham, c'ton - t'ship",municipality,,
"Dunham, canton",municipality,,
"Dunham, canton (township)",municipality,,
"Dunham, paroisse",municipality,,
"Dunham, village",municipality,,
Durham,municipality,,
Durham Sud,municipality,,
"Durham Sud, village",municipality,,
"Durham, canton",municipality,,
Eagan,municipality,,
Eagan Sud,municipality,,
Eagen,municipality,,
Eardley,municipality,,
East Aldfield,municipality,,
East Angues,municipality,,
East Angus,municipality,,
East Broughton,municipality,,
East-Angus,municipality,,
Eastman,municipality,,
Eaton,municipality,,
Egan,municipality,,
Egan Sud,municipality,,
Elgin,municipality,,
Ely Nord (North),municipality,,
Ely Partie Sud,municipality,,
"Ely, Nord (North)",municipality,,
"Ely, canton",municipality,,
"Ely, canton (township)",municipality,,
"Ely, canton (township_",municipality,,
"Ely, partic Ouest",municipality,,
"Ely, partie Est",municipality,,
"Ely, partie Nord",municipality,,
"Ely, partie sud",municipality,,
Emberton,municipality,,
Escoumains,municipality,,
Escuminac,municipality,,
Escumniac,municipality,,
Etang du Nord,municipality,,
FNLD.,province,CA,CA-NL
FNLD.,,CA,CA-NL
Fabre,municipality,,
Farhnham,municipality,,
"Farnahm East, village",municipality,,
"Farngam Ouest, canton",municipality,,
Farnham,municipality,,
"Farnham ,partie Est",municipality,,
Farnham Est,municipality,,
"Farnham Est, village",municipality,,
Farnham c'ton - t'ship,municipality,,
"Farnham, Est",municipality,,
"Farnham, Ouest - West",municipality,,
"Farnham, c'ton - t'ship",municipality,,
"Farnham, partie Est",municipality,,
"Farnham, partie Ouest",municipality,,
"Farnham, partie est",municipality,,
"Farnham, partie ouest (West part)",municipality,,
"Farnham, ville",municipality,,
"Farnham, ville (city)",municipality,,
"Farnham, ville (town",municipality,,
"Farnham, ville (town)",municipality,,
"Farnham, ville - town",municipality,,
Ferme Neuve,municipality,,
Fiedmont & Barraute,municipality,,
Fiedmont et Barraute,municipality,,
Figuery & Dalquier,municipality,,
"Figuery & Dalquier, partie Est",municipality,,
"Figuery & Dalquier, partie Ouest",municipality,,
"Figuery & Dalquier, partie ouest",municipality,,
Figuery et Dalquier,municipality,,
"Figuery et Dalquier, partie Ouest",municipality,,
"Figuery et Dalquier, partie est",municipality,,
Fort Coulogne,municipality,,
Fort Coulonge,municipality,,
Fortierville,municipality,,
Foster,municipality,,
Fox,municipality,,
Fox & Sydenham Nord,municipality,,
Fox & Sydenham Sud,municipality,,
Fox et Sydenham Nord,municipality,,
Frampton,municipality,,
Franklin,municipality,,
Fraserville,municipality,,
Freighsberg,municipality,,
Freighsburg,municipality,,
Frelighsburg,municipality,,
"Ganby, c'ton - t'ship",municipality,,
"Ganby, cite",municipality,,
"Ganby, cite (City)",municipality,,
"Ganby, cite (city)",municipality,,
"Ganby, citw",municipality,,
Gand'Mere,municipality,,
Garthby,municipality,,
Gaspe Baie Nord,municipality,,
"Gaspe Baie, Sud (South)",municipality,,
"Gaspe, village",municipality,,
Gaspe-Baie-Sud (South),municipality,,
Gaspé Baie Nord,municipality,,
Gayhurst,municipality,,
Gayhurst S.E.,municipality,,
"Gayhurst, S.-E.",municipality,,
"Gayhurst, S.E.",municipality,,
"Gayhurst, c'ton - t'ship",municipality,,
"Gayhurst, canton - township",municipality,,
Gentilly,municipality,,
"Gentilly, parish",municipality,,
"Gentilly, paroisse (parish)",municipality,,
"Gentilly, village",municipality,,
Giffard,municipality,,
Godmanchester,municipality,,
Gore,municipality,,
Gracefield,municipality,,
Granby,municipality,,
Granby cité,municipality,,
"Granby, c'ton - t'ship",municipality,,
"Granby, canton",municipality,,
"Granby, cite",municipality,,
"Granby, cite - city",municipality,,
"Granby, cité",municipality,,
"Granby, township",municipality,,
"Granby, ville (city)",municipality,,
Grand Piles,municipality,,
Grand Riviere,municipality,,
Grand'Mere,municipality,,
Grand'Mère,municipality,,
Grand-Riviere,municipality,,
Grande Riviere,municipality,,
Grande Rivière,municipality,,
Grande-Riviere,municipality,,
"Gravel, Wurtele & Moreau",municipality,,
Greenfield Park,municipality,,
Greenfield park,municipality,,
"Greenville, village",municipality,,
Grenville,municipality,,
Grenville & Augentation,municipality,,
Grenville & Augmentation,municipality,,
Grenville et Augmentation,municipality,,
"Grenville, village",municipality,,
"Grondines, parish",municipality,,
"Grondines, paroisse",municipality,,
"Grondines, village",municipality,,
Gsrthby,municipality,,
Ham Nord,municipality,,
Ham Sud,municipality,,
Ham-Sud (South),municipality,,
Hampden,municipality,,
Hampstead,municipality,,
Harrington,municipality,,
Hartwell & Preston,municipality,,
Hartwell et Preston,municipality,,
Hately Nord,municipality,,
Hatley,municipality,,
Hatley North,municipality,,
Hatley Ouest,municipality,,
"Hatley Ouest, canton",municipality,,
Hatley West,municipality,,
Hatley canton,municipality,,
Hatley cantonn,municipality,,
"Hatley, canton",municipality,,
"Hatley, partie ouest",municipality,,
"Hatley, village",municipality,,
Havelock,municipality,,
"Havelock, c'ton - t'ship",municipality,,
Havelok,municipality,,
Havre aux Maisons,municipality,,
"Hbertville, village",municipality,,
Hebertville,municipality,,
Hebertville Station,municipality,,
"Hemminford, paroisse",municipality,,
Hemmingford,municipality,,
"Hemmingford, village",municipality,,
Henryville,municipality,,
"Herbertville, village",municipality,,
Hereford,municipality,,
Hinchinbrokke,municipality,,
Hinchinbrooke,municipality,,
Hincks,municipality,,
Hocquart,municipality,,
Honfleur,municipality,,
Hope,municipality,,
Howard,municipality,,
Howick,municipality,,
"Howick, village",municipality,,
Hudson,municipality,,
"Hudson, village",municipality,,
Hull,municipality,,
Hull Cite,municipality,,
Hull Est,municipality,,
Hull Ouest (West),municipality,,
Hull Sud,municipality,,
Hull Sud (South),municipality,,
Hull Sud - South,municipality,,
Hull cite,municipality,,
Hull cité,municipality,,
"Hull, Ouest (West)",municipality,,
"Hull, Ouest (west)",municipality,,
"Hull, Ouest - West",municipality,,
"Hull, Sud - South",municipality,,
"Hull, cite",municipality,,
"Hull, cite (town)",municipality,,
"Hull, cite - city",municipality,,
"Hull, cité",municipality,,
"Hull, partie Est",municipality,,
"Hull, partie Ouest",municipality,,
"Hull, partie ouest",municipality,,
"Hull, town",municipality,,
"Hull, ville",municipality,,
"Hull, ville (city)",municipality,,
"Hull, ville (town)",municipality,,
"Hull, ville - city",municipality,,
Hull-Ouest,municipality,,
Hull-Sud (South),municipality,,
Hunsterstown,municipality,,
Hunterstown,municipality,,
Huntingdon,municipality,,
"Huntingdon, village",municipality,,
"Huntingson, c'ton - t'ship",municipality,,
Hâvre Aubert,municipality,,
Hâvre aux Maisons,municipality,,
Hébertville,municipality,,
Hébertville Station,municipality,,
Hébertville Stattion,municipality,,
"Hébertville, village",municipality,,
Hôpital St-Jean de Dieu,municipality,,
Iberville,municipality,,
Ile Calument,municipality,,
Ile Calumet,municipality,,
Ile Malignes,municipality,,
Ile Perrot,municipality,,
Ile Perrot (Island),municipality,,
Ile Verte,municipality,,
Ile aux Coudres,municipality,,
Ile aux Grues,municipality,,
Ile aux Noix,municipality,,
Ile du Calumet,municipality,,
Ile du Grand Calumet,municipality,,
Ile-aux-Noix,municipality,,
Inverness,municipality,,
"Inverness, canton",municipality,,
"Inverness, village",municipality,,
Invernss,municipality,,
Isle Verte,municipality,,
Isle-Vertw,municipality,,
Issoudun,municipality,,
Ivry sur le Lac,municipality,,
Joliette,municipality,,
"Joliette, cite",municipality,,
"Joliette, cité",municipality,,
"Joliette, town",municipality,,
"Joliette, ville",municipality,,
"Joliette, ville (town)",municipality,,
"Joliette, ville - city",municipality,,
"Joliette, ville - town",municipality,,
"Joliette, ville -town",municipality,,
Joly,municipality,,
Jonquieres,municipality,,
"Jonquieres, paroisse",municipality,,
"Jonquieres, viille",municipality,,
"Jonquieres, village",municipality,,
"Jonquieres, ville",municipality,,
"Jonquieres, ville - town",municipality,,
"Jonquière, ville",municipality,,
Jonquières,municipality,,
"Jonquières, paroisse",municipality,,
"Jonquières, ville",municipality,,
"Kamouraska, paroisse",municipality,,
"Kamouraska, paroisse (parish)",municipality,,
"Kamouraska, village",municipality,,
Kempt,municipality,,
Kenogami,municipality,,
"Kenogami, village",municipality,,
"Kenogami, ville",municipality,,
Kensington,municipality,,
Kiamika,municipality,,
Kingsbury,municipality,,
Kingsey,municipality,,
Kingsey Falls,municipality,,
Kingsey canton,municipality,,
"Kingsey, c'ton - t'ship",municipality,,
"Kingsey, c'ton-t'ship",municipality,,
"Kingsey, canton",municipality,,
Kingsey-Falls,municipality,,
"Kinsey Falls, village",municipality,,
Kipawa,municipality,,
Kiskising,municipality,,
Knowlton,municipality,,
"Knowlton, village",municipality,,
Kénogami,municipality,,
"Kénogami, ville",municipality,,
"Kénogmi, ville",municipality,,
L'Acadie,municipality,,
L'Ange Gardien,municipality,,
L'Ange-Gardien,municipality,,
L'Annonciation,municipality,,
L'Annonciation d'Oka,municipality,,
"L'Annonciation, par",municipality,,
L'Anse aux Griffons,municipality,,
L'Ascension,municipality,,
L'Assomption,municipality,,
L'Assomption de N.-D. de MacNider,municipality,,
L'Assomption de N.-D. de McNider,municipality,,
"L'Assomption, par",municipality,,
"L'Assomption, ville",municipality,,
L'Assomptionm ville,municipality,,
L'Avenir,municipality,,
L'Epiphane,municipality,,
L'Epiphanie,municipality,,
"L'Epiphanie, village",municipality,,
L'Islet,municipality,,
"La Baie, ville",municipality,,
"La Malbaie, paroisse",municipality,,
"La Malbaie, village",municipality,,
La Minerve,municipality,,
"La Motte, partie Ouest",municipality,,
La Perade,municipality,,
"La Perade, village",municipality,,
La Providence,municipality,,
"La Reine et Desmeloizes, partie Est",municipality,,
La Salle,municipality,,
La Sarre,municipality,,
La Tuque,municipality,,
La Visitation,municipality,,
La. Reine,municipality,,
"LaMotte, partie Ouest",municipality,,
LaSalle,municipality,,
Labelle,municipality,,
Lac Brochet et Lac Chat,municipality,,
Lac Edouard,municipality,,
Lac Etchemin,municipality,,
Lac St-Louis,municipality,,
"Lac St-Louis, village",municipality,,
Lac Tremblant Nord,municipality,,
Lac Weedon,municipality,,
"Lac Weedon, village",municipality,,
Lac au Saumon,municipality,,
Lac des Seiza Iles,municipality,,
Lac-au-Saumon,municipality,,
Lachenaie,municipality,,
Lachine,municipality,,
Lachute,municipality,,
Lacolle,municipality,,
"Lacolle, village",municipality,,
"Lambton, par",municipality,,
"Lambton, paroisse",municipality,,
"Lambton, village",municipality,,
"Lamothe, canton (township)",municipality,,
"Lampton, paroisse",municipality,,
Landrienne,municipality,,
Langevin (Ste-Justine),municipality,,
Lannoxville,municipality,,
Lanoraie,municipality,,
Laprairie,municipality,,
"Laprairie, paroisse",municipality,,
"Laprairie, ville",municipality,,
"Larochelle, village",municipality,,
Lasalle,municipality,,
Lassalle,municipality,,
Launay,municipality,,
Laurentides,municipality,,
Laurierville,municipality,,
Lauzon,municipality,,
"Lauzon, town",municipality,,
"Lauzon, vill",municipality,,
"Lauzon, ville",municipality,,
"Lauzon, ville (town)",municipality,,
Laval de Montreal,municipality,,
Laval de Montréal,municipality,,
"Laval, village",municipality,,
Lavaltrie,municipality,,
Laverlochere et Baby Est,municipality,,
Lawrenceville,municipality,,
Leclercville,municipality,,
Leclereville,municipality,,
Leeds,municipality,,
Leeds Est (East),municipality,,
"Leeds, canton",municipality,,
"Leeds, partie est",municipality,,
"Leeds, village",municipality,,
"Leeds, villlage",municipality,,
Lennoxvile,municipality,,
Lennoxville,municipality,,
Les Bergeronnes,municipality,,
Les Ecureuils,municipality,,
"Leslie, Chapham & Huddersfield",municipality,,
"Leslie, Clapham & Huddersfield",municipality,,
"Leslie, clapham et Huddersfield",municipality,,
Letellier,municipality,,
Letellier canton,municipality,,
"Letellier, c'ton-t'ship",municipality,,
"Letellier, canton (township)",municipality,,
Levis,municipality,,
"Levis, ville",municipality,,
"Levis, ville (town)",municipality,,
"Levis, ville - town",municipality,,
Lezis,municipality,,
Lingwick,municipality,,
Litchfield,municipality,,
Lochaber,municipality,,
Lochaber Nord (North),municipality,,
Lochaber Ouest (West),municipality,,
Lochaber and Gore,municipality,,
Lochaber et Gore,municipality,,
"Lochaber, partie Ouest",municipality,,
"Lochaber, partie nord",municipality,,
Lochaber-Nord (North),municipality,,
Longueuil,municipality,,
"Longueuil, cité",municipality,,
"Longueuil, par",municipality,,
"Longueuil, paroisse",municipality,,
"Longueuil, town",municipality,,
"Longueuil, ville",municipality,,
"Longueuil, ville (town)",municipality,,
Loranger,municipality,,
"Loranger, canton",municipality,,
Lorette,municipality,,
Lorrainville,municipality,,
"Lotbiniere, paroisse (parish)",municipality,,
Louiseville,municipality,,
Louisville,municipality,,
Low,municipality,,
Luceville,municipality,,
Lussier,municipality,,
"Lussier, canton",municipality,,
Lyster,municipality,,
"Lyster, village",municipality,,
MAN.,,CA,CA-MB
MAN.,province,CA,CA-MB
MANITOBA,,CA,CA-MB
MANITOBA,province,CA,CA-MB
MacNider,municipality,,
Macamic,municipality,,
"Maganntic, ville - town",municipality,,
"Magantic, ville",municipality,,
Magog,municipality,,
"Magog, canton",municipality,,
"Magog, village",municipality,,
"Magog, ville",municipality,,
"Magog, ville (town)",municipality,,
Mainwaki,municipality,,
Maisonneuve,municipality,,
Malbaie,municipality,,
Malbaie No 2,municipality,,
Malbaie No. 1,municipality,,
"Malbaie, No 2",municipality,,
"Malbaie, parish",municipality,,
"Malbaie, paroisse",municipality,,
"Malbaie, paroisse (parish)",municipality,,
"Malbaie, paroisse, parish",municipality,,
"Malbaie, village",municipality,,
"Malbourne, Brompton & Gore",municipality,,
Man.,,CA,CA-MB
Man.,province,CA,CA-MB
Manitoba,,CA,CA-MB
Manitoba,province,CA,CA-MB
Manitoba,prov,CA,CA-MB
Maniwaki,municipality,,
Mann,municipality,,
Manseau,municipality,,
Mansfield & Pontefract,municipality,,
Mansfield et Pontefract,municipality,,
Mansifled & Pontefract,municipality,,
Maple Grove,municipality,,
Marbleton,municipality,,
Marchand,municipality,,
Marchard,municipality,,
Marcouche,municipality,,
Maria,municipality,,
Marieville,municipality,,
Marsham-Sud (South),municipality,,
Marston,municipality,,
Mascouche,municipality,,
Masham Nord,municipality,,
Masham Nord - North,municipality,,
"Masham Nord, North",municipality,,
Masham Ouest - West,municipality,,
Masham Sud,municipality,,
Masham Sud (South),municipality,,
Masham Sud - South,municipality,,
"Masham, Sud (South)",municipality,,
"Masham, partie Sud",municipality,,
"Masham, partie sud",municipality,,
Masham-Nord (North),municipality,,
Mashamm Sud,municipality,,
Maskinonge,municipality,,
Maskinongé,municipality,,
"Maskinongé, paroisse",municipality,,
Masseuville,municipality,,
Masson,municipality,,
Massueville,municipality,,
Matane,municipality,,
Matane par,municipality,,
Matane village,municipality,,
"Matane, par",municipality,,
"Matane, paroisse",municipality,,
"Matane, paroisse (parish)",municipality,,
"Matane, villafe",municipality,,
"Matane, village",municipality,,
Matapedia,municipality,,
Matapedia (St-Alexis),municipality,,
Matapedia (St-Laurent),municipality,,
Matminy,municipality,,
McMasterville,municipality,,
McNider,municipality,,
Megantic,municipality,,
Megantic ville,municipality,,
"Megantic, ville",municipality,,
"Megantic, ville - town",municipality,,
Melbourne,municipality,,
Melbourne & Brompton Gore,municipality,,
"Melbourne & Brompton Gore, cantons (township)",municipality,,
Melbourne canton,municipality,,
"Melbourne, Brompton & Gore",municipality,,
"Melbourne, Brompton and Gore",municipality,,
"Melbourne, canton",municipality,,
"Melbourne, canton (township)",municipality,,
"Melbourne, village",municipality,,
Messine,municipality,,
Metgermette partie Nord (North part),municipality,,
"Metgermette, nord (North)",municipality,,
"Metgermette, nord (north)",municipality,,
Metis Beach,municipality,,
Metis sur Mer,municipality,,
Metis-Sud (South),municipality,,
Michaudville,municipality,,
Mille Iles,municipality,,
Mille-Isles,municipality,,
Milton Est,municipality,,
Mont Carmel,municipality,,
Mont Joli,municipality,,
Mont Laurier,municipality,,
Mont St-Jean de Dieu,municipality,,
Mont-Carmel,municipality,,
Mont-Joli,municipality,,
Mont-Laurier,municipality,,
Mont-St-Jean-de-Dieu,municipality,,
"Montauban, village",municipality,,
Montcalm,municipality,,
"Montcalm, township",municipality,,
Montebello,municipality,,
Montmagny,municipality,,
"Montmagny, parish",municipality,,
"Montmagny, paroisse (parish)",municipality,,
"Montmagny, town",municipality,,
"Montmagny, ville",municipality,,
"Montmagny, ville (town)",municipality,,
Montminy,municipality,,
"Montmorenct, village",municipality,,
Montmorency,municipality,,
"Montmorency, village",municipality,,
"Montmorency, ville (town)",municipality,,
Montreal,municipality,,
Montreal Est,municipality,,
Montreal Est (East),municipality,,
Montreal Est -East,municipality,,
Montreal Ouest,municipality,,
Montreal Ouest (West),municipality,,
Montreal Ouest (west),municipality,,
Montreal West,municipality,,
Montreal-Est,municipality,,
Montreal-Est - East,municipality,,
Montreal-Nord - North,municipality,,
Montreal-Ouest,municipality,,
Montreal-Ouest (West),municipality,,
Montreal-Ouest - West,municipality,,
Montreal-Sud,municipality,,
Montréal,municipality,,
Montréal Est,municipality,,
Montréal Ouest,municipality,,
"Moreau, Gravel et Pope",municipality,,
Morin Heights,municipality,,
"Morin, partie Sud",municipality,,
Morin-Sud (South),municipality,,
