disease,nesting_disease,historical_disease_family,historical_disease,historical_disease_subclass,icd_7,icd_7_subclass,icd_9,icd_9_subclass,cleaned_category,infection_type,infectious_agent,body_system_primarily_affected,organ_primarily_affected,additional_info,missing_info,pattern_family,pattern,pattern_subclass,exact_family,exact,exact_subclass,link_family,link,link_subclass,notes,original_dataset_id,scan_id,digitization_id
Western-Equine-encephalitis,encephalitis,Virus diseases of central nervous system,Western equine encephalitis,,062.1,,,,,viral,Western-equine-encephalitis-virus,CNS,,,,,encephalitis,,,,,,https://en.wikipedia.org/wiki/Western_equine_encephalitis_virus,,,,,
Western-Equine-encephalitis,encephalitis,Virus diseases of centeral nervous system,Aspetic meningitis due to enteroviruses ( excludes polio ),Western enquine encephalitis,,062.1,,,,,,,,,,,,,,,,,,,,,,
Western-Equine-encephalitis,encephalitis,,Western Equine Encephalitis,,062.1,,,,,viral,Western-equine-encephalitis-virus,CNS,,,,,encephalitis,,,,,,https://en.wikipedia.org/wiki/Western_equine_encephalitis_virus,,,,,
actinomycosis,,,Actinomycosis,,,,,,,,,,,,,,,,,,,,,,,,,
actinomycosis,,,actinomycosis,,,,,,,,,,,,,,,,,,,,,,,,,
actinomycosis,,,Actinmycosis,,,,,,,,,,,,,,,,,,,,,,,,,
acute-flaccid-paralysis,,,Acute Flaccid Paralysis,,,,,,,unspecified,unspecified,neuromuscular,,,,,polio|botu,,,,,,https://www.canada.ca/en/public-health/services/diseases/acute-flaccid-myelitis.html,,,,,
acute-flaccid-paralysis,,,Acute Flaccid Paralysis,,,,045,,,unspecified,unspecified,neuromuscular,,,,,polio|botu,,,,,,https://www.canada.ca/en/public-health/services/diseases/acute-flaccid-myelitis.html,,,,,
acute-flaccid-paralysis,,,acute flaccid paralysis,,,,,,,unspecified,unspecified,neuromuscular,,,,,polio|botu,,,,,,https://www.canada.ca/en/public-health/services/diseases/acute-flaccid-myelitis.html,,,,,
acute-primary-pneumonia,pneumonia,,Acute Primary Pneumonia,,,,,,,,,respiratory,lungs,,,,,,,,,,,,,,,
aeromonas,,,Aeromonas,,,,,,,,,,,,,,,,,,,,,,,,,
all-diseases,,,all_diseases,,,,,,,,,,,,,,,,,,,,,,,,,
all-diseases,,,all_diseases,,,,22,,,,,,,,,,,,,,,,,,,,,
all_diseases,,,all_diseases,,,,127,,,,,,,,,,,,,,,,,,,,,
all_diseases,,,all_diseases,,,,5.8,,,,,,,,,,,,,,,,,,,,,
all_diseases,,,all_diseases,,,,320.1,,,,,,,,,,,,,,,,,,,,,
all_diseases,,,all_diseases,,,,320.7,,,,,,,,,,,,,,,,,,,,,
all_diseases,,,all_diseases,,,,38,,,,,,,,,,,,,,,,,,,,,
all_diseases,,,all_diseases,,,,116,,,,,,,,,,,,,,,,,,,,,
all_diseases,,,all_diseases,,,,5.1,,,,,,,,,,,,,,,,,,,,,
all_diseases,,,all_diseases,,,,23,,,,,,,,,,,,,,,,,,,,,
all_diseases,,,all_diseases,,,,5.2,,,,,,,,,,,,,,,,,,,,,
all_diseases,,,all_diseases,,,,8.43,,,,,,,,,,,,,,,,,,,,,
all_diseases,,,all_diseases,,,,558.2,,,,,,,,,,,,,,,,,,,,,
all_diseases,,,all_diseases,,,,46.1,,,,,,,,,,,,,,,,,,,,,
all_diseases,,,all_diseases,,,,7.8,,,,,,,,,,,,,,,,,,,,,
all_diseases,,,all_diseases,,,,61,,,,,,,,,,,,,,,,,,,,,
all_diseases,,,all_diseases,,,,65.4,,,,,,,,,,,,,,,,,,,,,
all_diseases,,,all_diseases,,,,V02.4,,,,,,,,,,,,,,,,,,,,,
all_diseases,,,all_diseases,,,,32,,,,,,,,,,,,,,,,,,,,,
all_diseases,,,all_diseases,,,,123.4,,,,,,,,,,,,,,,,,,,,,
all_diseases,,,all_diseases,,,,8,,,,,,,,,,,,,,,,,,,,,
all_diseases,,,all_diseases,,,,54.3,,,,,,,,,,,,,,,,,,,,,
all_diseases,,,all_diseases,,,,5.9,,,,,,,,,,,,,,,,,,,,,
all_diseases,,,all_diseases,,,,7.1,,,,,,,,,,,,,,,,,,,,,
all_diseases,,,all_diseases,,,,320,,,,,,,,,,,,,,,,,,,,,
all_diseases,,,all_diseases,,,,41.5,,,,,,,,,,,,,,,,,,,,,
all_diseases,,,all_diseases,,,,41.59,,,,,,,,,,,,,,,,,,,,,
all_diseases,,,all_diseases,,,,480.8,,,,,,,,,,,,,,,,,,,,,
all_diseases,,,all_diseases,,,,283.11,,,,,,,,,,,,,,,,,,,,,
all_diseases,,,all_diseases,,,,70.1,,,,,,,,,,,,,,,,,,,,,
all_diseases,,,all_diseases,,,,70.3,,,,,,,,,,,,,,,,,,,,,
all_diseases,,,all_diseases,,,,70.51,,,,,,,,,,,,,,,,,,,,,
all_diseases,,,all_diseases,,,,487.1A,,,,,,,,,,,,,,,,,,,,,
all_diseases,,,all_diseases,,,,487.1B,,,,,,,,,,,,,,,,,,,,,
all_diseases,,,all_diseases,,,,482.83,,,,,,,,,,,,,,,,,,,,,
all_diseases,,,all_diseases,,,,85.9,,,,,,,,,,,,,,,,,,,,,
all_diseases,,,all_diseases,,,,30.9,,,,,,,,,,,,,,,,,,,,,
all_diseases,,,all_diseases,,,,27,,,,,,,,,,,,,,,,,,,,,
all_diseases,,,all_diseases,,,,88.81,,,,,,,,,,,,,,,,,,,,,
all_diseases,,,all_diseases,,,,84,,,,,,,,,,,,,,,,,,,,,
all_diseases,,,all_diseases,,,,55.9,,,,,,,,,,,,,,,,,,,,,
all_diseases,,,all_diseases,,,,36,,,,,,,,,,,,,,,,,,,,,
all_diseases,,,all_diseases,,,,36.82,,,,,,,,,,,,,,,,,,,,,
all_diseases,,,all_diseases,,,,36.2,,,,,,,,,,,,,,,,,,,,,
all_diseases,,,all_diseases,,,,B95.6,,,,,,,,,,,,,,,,,,,,,
all_diseases,,,all_diseases,,,,72.9,,,,,,,,,,,,,,,,,,,,,
all_diseases,,,all_diseases,,,,36.89,,,,,,,,,,,,,,,,,,,,,
all_diseases,,,all_diseases,,,,728.86,,,,,,,,,,,,,,,,,,,,,
all_diseases,,,all_diseases,,,,729.1,,,,,,,,,,,,,,,,,,,,,
all_diseases,,,all_diseases,,,,323.9,,,,,,,,,,,,,,,,,,,,,
all_diseases,,,all_diseases,,,,33.1,,,,,,,,,,,,,,,,,,,,,
all_diseases,,,all_diseases,,,,33,,,,,,,,,,,,,,,,,,,,,
all_diseases,,,all_diseases,,,,38.2,,,,,,,,,,,,,,,,,,,,,
all_diseases,,,all_diseases,,,,73.9,,,,,,,,,,,,,,,,,,,,,
amoebic-abscess,amoebic-dysentery,,amoebic abscess,,,,,,,,,,,,,,,,,,,,,,,,,
amoebic-dysentery,dysentery,,Dysentery,Amoebic,,,,,,,,,,,,,,,,,,,,,,,,
amoebic-dysentery,dysentery,,AMEBIASIS,,,,6.9,,,,,,,,,,,,,,,,,,,,,
amoebic-dysentery,dysentery,Enterics,AMEBIASIS,,,,,,,,,,,,,,,,,,,,,,,,,
amoebic-dysentery,dysentery,,Amoebiasis,,,,,,intestinal-infectious-disease,amoeba,Entamoeba-histolytica,GI,,,,,^amebia,,,^amebiasis$,,,https://en.wikipedia.org/wiki/Amoebiasis,,,,,
amoebic-dysentery,dysentery,,Dysentery,Amoebic,,,,,intestinal-infectious-disease,amoeba,Entamoeba-histolytica,GI,,,,,diar.*ea,,,^diar.*ea,,,,,,,,
amoebic-dysentery,dysentery,,Dysentery,Amoebic,,046,,,intestinal-infectious-disease,amoeba,Entamoeba-histolytica,GI,,,,,diar.*ea,,,^diar.*ea,,,,,,,,
amoebic-dysentery,dysentery,,Amoebiasis,,,,006,,intestinal-infectious-disease,amoeba,Entamoeba-histolytica,GI,,,,,^amebia,,,^amebiasis$,,,https://en.wikipedia.org/wiki/Amoebiasis,,,,,
amoebic-dysentery,dysentery,,Dysentery (Amoebic),,,,,,intestinal-infectious-disease,amoeba,Entamoeba-histolytica,GI,,,,,^amebia,,,^amebiasis$,,,https://en.wikipedia.org/wiki/Amoebiasis,,,,,
amoebic-dysentery,dysentery,,dysentry a/b A,,,,,,,,,,,,,,,,,,,,,,,,,
amoebic-dysentery,dysentery,,amoebic dysentry,,,,,,,,,,,,,,,,,,,,,,,,,
amoebic-dysentery,dysentery,,amoebiasis,,,,,,intestinal-infectious-disease,amoeba,Entamoeba-histolytica,GI,,,,,^amebia,,,^amebiasis$,,,https://en.wikipedia.org/wiki/Amoebiasis,,,,,
amoebic-dysentery,dysentery,,amebiasis,,,,,,,,,,,,,,,,,,,,,,,,,
anaplasmosis,,EMD and Zoonotics,ANAPLASMA PHAGOCYTOPHILUM,,,,,,,,,,,,,,,,,,,,,,,,,
anaplasmosis,,Respiratory Diseases and TB,ANAPLASMA PHAGOCYTOPHILUM,,,,,,,,,,,,,,,,,,,,,,,,,
anaplasmosis,,EMD and Zoonotics,ANAPLASMOSIS,,,,,,,,,,,,,,,,,,,,,,,,,
anterior-poliomyelitis,poliomyelitis,,Anterior Poliomyelitis,,,,,,,,,,,,,,,,,,,,,,,,,
anthrax,,,ANTHRAX,,,,22,,,,,,,,,,,,,,,,,,,,,
anthrax,,,Anthrax,,,,022,,,bacterial,Bacillus-anthrax,unspecified,,,,,anthrax,,,anthrax,,,,,,,,
anthrax,,,anthrax,,,,,,,bacterial,Bacillus-anthrax,unspecified,,,,,anthrax,,,anthrax,,,,,,,,
anthrax,,,Anthrax,,,,,,,bacterial,Bacillus-anthrax,unspecified,,,,,anthrax,,,anthrax,,,,,,,,
ascariasis,,,ASCARIASIS,,,,127,,,,,,,,,,,,,,,,,,,,,
ascariasis,,,ASCARIASI S,,,,127,,,,,,,,,,,,,,,,,,,,,
bacillary-dysentery,dysentery,,Dysentery,Bacillary,,,,,,,,,,,,,,,,,,,,,,,,
bacillary-dysentery,dysentery,,Dysentery,Bacillary,,,,,intestinal-infectious-disease,bacterial,Shigella,GI,,,,,diar.*ea,,,^diar.*ea,,,https://en.wikipedia.org/wiki/Bacillary_dysentery,,,,,
bacillary-dysentery,dysentery,,Dysentery,Bacillary,,045,,,intestinal-infectious-disease,bacterial,Shigella,GI,,,,,diar.*ea,,,^diar.*ea,,,https://en.wikipedia.org/wiki/Bacillary_dysentery,,,,,
bacillary-dysentery,dysentery,Intestinal infectious diseases,Bacillary dysentery,,004,,,,intestinal-infectious-disease,bacterial,Shigella,GI,,,,,shig,,,shig,,https://en.wikipedia.org/wiki/Intestinal_infectious_diseases,https://en.wikipedia.org/wiki/Bacillary_dysentery,,,,,
bacillary-dysentery,dysentery,,Bacillary dysentery,,004,,,,intestinal-infectious-disease,bacterial,Shigella,GI,,,,,shig,,,shig,,,https://en.wikipedia.org/wiki/Bacillary_dysentery,,,,,
bacillary-dysentery,dysentery,,Dysentery (Bacillary),,,,,,intestinal-infectious-disease,bacterial,Shigella,GI,,,,,shig,,,shig,,,https://en.wikipedia.org/wiki/Bacillary_dysentery,,,,,
bacillary-dysentery,dysentery,,dysentry a/b B,,,,,,,,,,,,,,,,,,,,,,,,,
bacillary-dysentery,dysentery,,bacillary dysentry,,,,,,,,,,,,,,,,,,,,,,,,,
bacillary-dysentery,dysentery,,Bacillary dysentery,,,,,,intestinal-infectious-disease,bacterial,Shigella,GI,,,,,,,,,,,,,,,,
bacillary-dysentery,dysentery,,Bacillary Dysentery,,,,,,intestinal-infectious-disease,bacterial,Shigella,GI,,,,,,,,,,,,,,,,
bacillus-cereus,food-poisoning,,B. CEREUS,,,,5.8,,,,,,,,,,,,,,,,,,,,,
bacterial-meningitis-haemophilus-influenzae,meningitis-bacterial,,BAC. MENINGITIS - HAEM,,,,320,,,,,,,,,,,,,,,,,,,,,
beta-hemolytic-streptococcal-septicemia,group-A-strep,,BETA STREP SEPTICEMIA,,,,38,,,,,,,,,,,,,,,,,,,,,
blastomycosis,,,BLASTOMYCOSIS,,,,116,,,,,,,,,,,,,,,,,,,,,
blastomycosis,,EMD and Zoonotics,BLASTOMYCOSIS,,,,,,,,,,,,,,,,,,,,,,,,,
blastomycosis,,Respiratory Diseases and TB,BLASTOMYCOSIS,,,,,,,,,,,,,,,,,,,,,,,,,
blastomycosis,,EMD and Zoonotics*,BLASTOMYCOSIS,,,,,,,,,,,,,,,,,,,,,,,,,
blastomycosis,,,blastmycosis,,,,,,,,,,,,,,,,,,,,,,,,,
blastomycosis,,,blastomycosis,,,,,,,,,,,,,,,,,,,,,,,,,
botulism,,,BOTULISM,,,,5.1,,,,,,,,,,,,,,,,,,,,,
botulism,,,Botulism,,,,,,intestinal-infectious-disease,bacterial,Clostridium-botulinum,GI,,,,,botu,,,botu,,,https://en.wikipedia.org/wiki/Botulism,,,,,
botulism,,Intestinal infectious diseases,Food poisoning (bacterial)(excludes Salmonella food poisioning),Botulism,,005.1,,,,,,,,,,,,,,,,,,,,,,
botulism,,,Food Poisoning (bacterial),Botulism,,005.1,,,intestinal-infectious-disease,bacterial,Clostridium-botulinum,GI,,food-borne,,,food,,,,,,,,,,,
botulism,,,Botulism,,,,005.1,,intestinal-infectious-disease,bacterial,Clostridium-botulinum,GI,,,,,botu,,,botu,,,https://en.wikipedia.org/wiki/Botulism,,,,,
botulism,,,botulism,,,,,,intestinal-infectious-disease,bacterial,Clostridium-botulinum,GI,,,,,botu,,,botu,,,https://en.wikipedia.org/wiki/Botulism,,,,,
botulism_ex-salmonella,botulism,Intestinal infectious diseases,Food poisoning (bacterial) (excludes Salmonella food poisoning),Botulism,,005.1,,,intestinal-infectious-disease,bacterial,Clostridium-botulinum,GI,,food-borne,,,food,,,,,https://en.wikipedia.org/wiki/Intestinal_infectious_diseases,,,,,,
brucellosis,,,BRUCELLOSIS,,,,23,,,,,,,,,,,,,,,,,,,,,
brucellosis,,EMD and Zoonotics,BRUCELLOSIS,,,,,,,,,,,,,,,,,,,,,,,,,
brucellosis,,,Brucellosis,,,,,,,,,,,,,,,,,,,,,,,,,
brucellosis,,,Undulant fever,,,,,,,bacterial,Brucella,unspecified,,,,,brucel,,,brucel,,,https://en.wikipedia.org/wiki/Brucellosis,,,,,
brucellosis,,,Brucellosis (Undulant fever),,044,,,,,bacterial,Brucella,unspecified,,,,,bruc,,,bruc,,,,,,,,
brucellosis,,,Brucellosis,,,,023,,,bacterial,Brucella,unspecified,,,,,bruc,,,bruc,,,https://en.wikipedia.org/wiki/Brucellosis,,,,,
brucellosis,,,Undulant Fever,,,,,,,bacterial,Brucella,unspecified,,,,,brucel,,,brucel,,,https://en.wikipedia.org/wiki/Brucellosis,,,,,
brucellosis,,,undulent fever (brucellosis),,,,,,,bacterial,Brucella,unspecified,,,,,,,,,,,https://en.wikipedia.org/wiki/Brucellosis,,,,,
brucellosis,,,brucellosis,,,,,,,,,,,,,,,,,,,,,,,,,
brucellosis,,,Undulent_Fever (Malta Fever),,,,,,,bacterial,Brucella,unspecified,,,,,brucel,,,brucel,,,https://en.wikipedia.org/wiki/Brucellosis,,,,,
brucellosis,,,Undulent_Fever,,,,,,,bacterial,Brucella,unspecified,,,,,brucel,,,brucel,,,https://en.wikipedia.org/wiki/Brucellosis,,,,,
campylobacteriosis,,,CAMPYLOBACTER,,,,8.43,,,,,,,,,,,,,,,,,,,,,
campylobacteriosis,,,CAMPYLOBACTER,,,,008.4 3,,,,,,,,,,,,,,,,,,,,,
campylobacteriosis,,Enterics,CAMPYLOBACTER,,,,,,,,,,,,,,,,,,,,,,,,,
campylobacteriosis,,Enterics,CAMPYLOBACTERIOSIS,,,,,,,,,,,,,,,,,,,,,,,,,
campylobacteriosis,,,Campylobacteriosis,,,,,,,bacterial,Campylobacter,GI,,,,,,,,,,,,,,,,
campylobacteriosis,,,Campylobacteriosis,,,,008.41,,,bacterial,Campylobacter,GI,,,,,diar.*ea,,,^diar.*ea,,,https://en.wikipedia.org/wiki/Campylobacteriosis,,,,,
campylobacteriosis,,,Campylobacteriosis,,,,008.41*,,,bacterial,Campylobacter,GI,,,,,diar.*ea,,,^diar.*ea,,,https://en.wikipedia.org/wiki/Campylobacteriosis,,,,,
campylobacteriosis,,,campylobacter,,,,,,,,,,,,,,,,,,,,,,,,,
campylobacteriosis,,,campylobacter enteritis,,,,,,,,,,,,,,,,,,,,,,campylobacteriosis?,,,
carbapenemase-producing-enterobacteriaceae,carbapenemase-producing-organisms,,carbapenemase-producing enterobacteriaceae (cpe),,,,,,,,,,,,,,,,,,,,,,,,,
carbapenemase-producing-organisms,,,Carbapenemase Producing Organisms,,,,,,,,,,,,,,,,,,,,,,,,,
chagas-disease,,,TRYPANOSOMA CRUZI,,,,86,,,,,,,,,,,,,,,,,,,,,
chagas-disease,,EMD and Zoonotics,TRYPANOSOMA CRUZI,,,,,,,,,,,,,,,,,,,,,,,,,
chancroid,other-venereal-diseases,,Chancroid,,,,099.0,,STI,bacterial,Haemophilus-ducreyi,urogenital,,,,,canc,,,canc,,,https://en.wikipedia.org/wiki/Chancroid,,,,,
chancroid,other-venereal-diseases,,Chancroid,,,,,,STI,bacterial,Haemophilus-ducreyi,urogenital,,,,,canc,,,canc,,,https://en.wikipedia.org/wiki/Chancroid,,,,,
chancroid,other-venereal-diseases,,chancroid,,,,,,STI,bacterial,Haemophilus-ducreyi,urogenital,,,,,canc,,,canc,,,https://en.wikipedia.org/wiki/Chancroid,,,,,
chickenpox,,,Chickenpox,,,,,,,viral,varicella-zoster,skin,,,,,chickenpox,,,chickenpox,,,https://en.wikipedia.org/wiki/Chickenpox,,,,,
chickenpox,,,Chickenpox,,,,052,,,viral,varicella-zoster,skin,,,,,chickenpox,,,chickenpox,,,https://en.wikipedia.org/wiki/Chickenpox,,,,,
chickenpox,,,chickenpox,,,,,,,viral,varicella-zoster,skin,,,,,chickenpox,,,chickenpox,,,https://en.wikipedia.org/wiki/Chickenpox,,,,,
chickenpox,,,Cickenpox,,,,,,,,,,,,,,,,,,,,,,,,,
chickenpox,,,chickenpox (varicella),,,,,,,viral,varicella-zoster,skin,,,,,chickenpox,,,chickenpox,,,https://en.wikipedia.org/wiki/Chickenpox,,,,,
chickenpox,,,Chicken-pox,,,,,,,,,,,,,,,,,,,,,,,,,
chickenpox-hospitalized,chickenpox,,Varicella (Chickenpox) Hospitalized,,,,,,,viral,varicella-zoster,skin,,,,,,,,,,,,,,,,
chikungunya,,,Chikungunya Virus,,,,,,,,,,,,,,,,,,,,,,,,,
chlamydia,other-venereal-diseases,,Chlamydia,,,,099.81*,,STI,bacterial,Chlamydia-trachomatis,urogenital,,,,,chlamydia,,,,,,https://en.wikipedia.org/wiki/Chlamydia,,,,,
chlamydia,other-venereal-diseases,,Chlamydia,,,,099.81,,STI,bacterial,Chlamydia-trachomatis,urogenital,,,,,chlamydia,,,,,,https://en.wikipedia.org/wiki/Chlamydia,,,,,
chlamydia,other-venereal-diseases,,chlamydia,,,,,,,,,,,,,,,,,,,,,,,,,
chlamydia,other-venereal-diseases,,chlamydial infections,,,,,,,bacterial,Chlamydia-trachomatis,urogenital,,,,,,,,,,,https://en.wikipedia.org/wiki/Chlamydia,,,,,
chlamydia,other-venereal-diseases,STBBI,CHLAMYDIA,,,,,,,,,,,,,,,,,,,,,,,,,
cholera,,,"Cholera (O1,O139)",,,,,,,,,,,"o1, o139",,,,,,,,,,,,,,
cholera,,,Cholera,,,,001,,,bacterial,Vibrio-cholerae,GI,,,,,cholera,,,cholera,,,https://en.wikipedia.org/wiki/Cholera,,,,,
cholera,,,cholera,,,,,,,bacterial,Vibrio-cholerae,GI,,,,,cholera,,,cholera,,,https://en.wikipedia.org/wiki/Cholera,,,,,
clostridium-difficile,,,CLOSTRIDIUM DIFFICILE,,,,558.2,,,,,,,,,,,,,,,,,,,,,
clostridium-difficile,,ARO and Nosocomial Organisms,CLOSTRIDIUM DIFFICILE,,,,,,,,,,,,,,,,,,,,,,,,,
clostridium-difficile,,OTHER DISEASES,CLOSTRIDIUM DIFFICILE,,,,,,,,,,,,,,,,,,,,,,,,,
clostridium-perfringens,food-poisoning,,C. PERFRINGENS,,,,5.2,,,,,,,,,,,,,,,,,,,,,
clostridium-perfringens,food-poisoning,Enterics,C. PERFRINGENS,,,,,,,,,,,,,,,,,,,,,,,,,
congenital-cytomegalovirus,cytomegalovirus,,Congenital Cytomegalovirus,,,,,,,,,,,,,,,,,,,,,,,,,
congenital-cytomegalovirus,cytomegalovirus,,cytomegalovirus congenital,,,,,,,,,,,,,,,,,,,,,,,,,
congenital-cytomegalovirus,cytomegalovirus,,"cytomegalovirus infection, congenital",,,,,,,,,,,,,,,,,,,,,,,,,
congenital-rubella,rubella,,RUBELLA CONGENTIAL,,,,771,,,,,,,,,,,,,,,,,,,,,
congenital-rubella,rubella,,RUBELLA RUBELLA CONGENTIAL,,,,056.9 771.0,,,,,,,,,,,,,,,,,,,,,
congenital-rubella,rubella,,RUBELLA CONGENITAL,,,,771,,,,,,,,,,,,,,,,,,,,,
congenital-rubella,rubella,,Congenital Rubella,,,,771.0,,,viral,Rubella,unspecified,,,,,,,,,,,https://en.wikipedia.org/wiki/Congenital_rubella_syndrome,,,,,
congenital-rubella,rubella,,rubella congenital,,,,,,,,,,,,,,,,,,,,,,,,,
congenital-rubella,rubella,,"rubella, congenital syndrome",,,,,,,viral,Rubella,unspecified,,,,,,,,,,,https://en.wikipedia.org/wiki/Congenital_rubella_syndrome,,,,,
congenital-toxoplasmosis,toxoplasmosis,,Congenital Toxoplasmosis,,,,,,,,,,,,,,,,,,,,,,,,,
conjunctivitis,,,Conjunctivitis,,,,,,,,,,,,,,,,,,,,,,,,,
conjunctivitis,,,conjunctivitis,,,,,,,,,,,,,,,,,,,,,,,,,
conjunctivitis,,,Conjuntivitis,,,,,,,,,,,,,,,,,,,,,,,,,
conjunctivitis-acute,conjunctivitis,,Conjunctivitis-acute infectious,,,,,,,,,,,,,,,,,,,,,,,,,
covid-19,,,SARS (CORONAVIRUS),,,,79.82,,,,,,,,,,,,,,,,,,,,,
covid-19,,,coronaviruses causing severe acute respiratory illness,,,,,,,,,,,,,,,,,,,,,,,,,
cryptococcus-gattii,,,Cryptococcus (Gattii),,,,,,,,,,,,,,,,,,,,,,,,,
cryptosporidiosis,,,CRYPTOSPORIDIOSIS,,,,7.8,,,,,,,,,,,,,,,,,,,,,
cryptosporidiosis,,Enterics,CRYPTOSPORIDIOSIS,,,,,,,,,,,,,,,,,,,,,,,,,
cryptosporidiosis,,,Cryptosporidiosis,,,,,,,parasite,Cryptosporidium,GI,,,,,,,,,,,https://en.wikipedia.org/wiki/Cryptosporidiosis,,,,,
cryptosporidiosis,,,Cryptosporidiosis,,,,036.8,,,parasite,Cryptosporidium,GI,,,,,,,,,,,https://en.wikipedia.org/wiki/Cryptosporidiosis,,,,,
cryptosporidiosis,,,cryptosporidiosis,,,,,,,parasite,Cryptosporidium,GI,,,,,,,,,,,https://en.wikipedia.org/wiki/Cryptosporidiosis,,,,,
cutaneous-diphtheria,diphtheria,,"Diphtheria, Toxigenic - Cutaneous",,,,,,,,,,,,,,,,,,,,,,,,,
cyclosporiasis,,Enterics,CYCLOSPORIASIS,,,,,,,,,,,,,,,,,,,,,,,,,
cyclosporiasis,,,Cyclosporiasis,,,,,,,parasite,Cyclospora,GI,,,,,,,,,,,https://en.wikipedia.org/wiki/Cyclospora,,,,,
cyclosporiasis,,,Cyclospora,,,,,,,parasite,Cyclospora,GI,,,,,,,,,,,https://en.wikipedia.org/wiki/Cyclospora,,,,,
cyclosporiasis,,,cyclosporiasis,,,,,,,parasite,Cyclospora,GI,,,,,,,,,,,https://en.wikipedia.org/wiki/Cyclospora,,,,,
cytomegalovirus,,,cytomegalovirus,,,,,,,,,,,,,,,,,,,,,,,,,
dengue,,,DENGUE FEVER,,,,65.4,,,,,,,,,,,,,,,,,,,,,
dengue,,,DENGUE FEVER,,,,61,,,,,,,,,,,,,,,,,,,,,
