# Daily mortality in Canada, 1951-1999
# These data were extracted by Junling Ma from the Canadian Mortality Database (CMD) at Statistics Canada in Ottawa in January 2005.  They were released from StatCan premises with the permission of Jean-Marie Berthelot.
# The data are aggregated across the entire country for each day
# Censored data (<3) are replaced by 1
# The data columns are: pop = population of Canada as a whole, acm = all-cause mortality, rcm = mortality from respiratory and circulatory causes and pim = mortality from pneumonia and influenza
# Junling Ma's original file Canada_daily is a space-delimited plain text file.  This spreadsheet was created by Laxmi Pandit in Nov 2007
year,month,day,numdate,pop,acm,rcm,pim
1951,2,23,1951.14795,14074684,480,302,73
1951,2,24,1951.15068,14075916,492,298,78
1951,2,25,1951.15342,14077147,397,252,72
1951,2,26,1951.15616,14078379,447,274,55
1951,2,27,1951.1589,14079611,439,277,79
1951,2,28,1951.16164,14080843,430,278,62
1951,3,1,1951.16438,14082075,502,280,69
1951,3,2,1951.16712,14083306,473,281,65
1951,3,3,1951.16986,14084538,483,298,72
1951,3,4,1951.1726,14085770,458,290,77
1951,3,5,1951.17534,14087002,417,260,67
1951,3,6,1951.17808,14088233,490,303,86
1951,3,7,1951.18082,14089465,479,314,101
1951,3,8,1951.18356,14090697,464,288,75
1951,3,9,1951.1863,14091929,448,277,82
1951,3,10,1951.18904,14093161,465,280,63
1951,3,11,1951.19178,14094392,475,278,75
1951,3,12,1951.19452,14095624,453,282,65
1951,3,13,1951.19726,14096856,441,271,62
1951,3,14,1951.2,14098088,436,267,65
1951,3,15,1951.20274,14099320,424,246,48
1951,3,16,1951.20548,14100551,415,241,59
1951,3,17,1951.20822,14101783,401,238,52
1951,3,18,1951.21096,14103015,421,253,48
1951,3,19,1951.2137,14104247,421,246,54
1951,3,20,1951.21644,14105478,407,236,47
1951,3,21,1951.21918,14106710,388,229,52
1951,3,22,1951.22192,14107942,368,200,34
1951,3,23,1951.22466,14109174,382,224,42
1951,3,24,1951.2274,14110406,392,202,40
1951,3,25,1951.23014,14111637,380,228,44
1951,3,26,1951.23288,14112869,353,203,31
1951,3,27,1951.23562,14114101,356,213,27
1951,3,28,1951.23836,14115333,386,224,35
1951,3,29,1951.2411,14116564,355,213,34
1951,3,30,1951.24384,14117796,382,220,34
1951,3,31,1951.24658,14119028,359,196,29
1951,4,1,1951.24932,14120260,368,218,42
1951,4,2,1951.25205,14121492,363,221,31
1951,4,3,1951.25479,14122723,342,197,29
1951,4,4,1951.25753,14123955,347,195,26
1951,4,5,1951.26027,14125187,338,186,25
1951,4,6,1951.26301,14126419,358,184,19
1951,4,7,1951.26575,14127650,369,187,27
1951,4,8,1951.26849,14128882,344,183,20
1951,4,9,1951.27123,14130114,331,189,18
1951,4,10,1951.27397,14131346,327,193,17
1951,4,11,1951.27671,14132578,321,182,24
1951,4,12,1951.27945,14133809,343,184,24
1951,4,13,1951.28219,14135041,324,159,10
1951,4,14,1951.28493,14136273,360,185,19
1951,4,15,1951.28767,14137505,350,205,22
1951,4,16,1951.29041,14138736,338,185,16
1951,4,17,1951.29315,14139968,329,172,18
1951,4,18,1951.29589,14141200,343,196,24
1951,4,19,1951.29863,14142432,333,184,22
1951,4,20,1951.30137,14143664,354,178,23
1951,4,21,1951.30411,14144895,339,166,20
1951,4,22,1951.30685,14146127,370,197,22
1951,4,23,1951.30959,14147359,348,192,22
1951,4,24,1951.31233,14148591,346,181,20
1951,4,25,1951.31507,14149823,343,171,19
1951,4,26,1951.31781,14151054,325,181,14
1951,4,27,1951.32055,14152286,349,182,13
1951,4,28,1951.32329,14153518,339,164,11
1951,4,29,1951.32603,14154750,303,153,14
1951,4,30,1951.32877,14155981,303,160,16
1951,5,1,1951.33151,14157213,314,162,10
1951,5,2,1951.33425,14158445,338,170,11
1951,5,3,1951.33699,14159677,307,164,14
1951,5,4,1951.33973,14160909,320,171,12
1951,5,5,1951.34247,14162140,348,196,16
1951,5,6,1951.34521,14163372,373,175,13
1951,5,7,1951.34795,14164604,336,173,14
1951,5,8,1951.35068,14165836,341,171,15
1951,5,9,1951.35342,14167067,280,147,15
1951,5,10,1951.35616,14168299,320,152,6
1951,5,11,1951.3589,14169531,323,175,20
1951,5,12,1951.36164,14170763,341,157,14
1951,5,13,1951.36438,14171995,327,168,9
1951,5,14,1951.36712,14173226,332,191,15
1951,5,15,1951.36986,14174458,363,167,15
1951,5,16,1951.3726,14175690,341,170,13
1951,5,17,1951.37534,14176922,330,171,16
1951,5,18,1951.37808,14178153,327,176,8
1951,5,19,1951.38082,14179385,360,181,12
1951,5,20,1951.38356,14180617,368,175,14
1951,5,21,1951.3863,14181849,376,190,12
1951,5,22,1951.38904,14183081,348,194,18
1951,5,23,1951.39178,14184312,315,165,12
1951,5,24,1951.39452,14185544,290,147,6
1951,5,25,1951.39726,14186776,339,192,10
1951,5,26,1951.4,14188008,354,172,13
1951,5,27,1951.40274,14189240,325,159,10
1951,5,28,1951.40548,14190471,328,169,6
1951,5,29,1951.40822,14191703,309,167,11
1951,5,30,1951.41096,14192935,301,146,9
1951,5,31,1951.4137,14194167,293,147,11
1951,6,1,1951.41644,14195398,291,135,3
1951,6,2,1951.41918,14196630,345,178,11
1951,6,3,1951.42192,14197862,335,155,7
1951,6,4,1951.42466,14199094,304,156,7
1951,6,5,1951.4274,14200326,322,169,7
1951,6,6,1951.43014,14201557,336,137,9
1951,6,7,1951.43288,14202789,305,170,7
1951,6,8,1951.43562,14204021,316,153,9
1951,6,9,1951.43836,14205253,314,167,4
1951,6,10,1951.4411,14206484,336,164,11
1951,6,11,1951.44384,14207716,329,146,12
1951,6,12,1951.44658,14208948,323,163,11
1951,6,13,1951.44932,14210180,317,140,11
1951,6,14,1951.45205,14211412,350,159,11
1951,6,15,1951.45479,14212643,348,168,9
1951,6,16,1951.45753,14213875,341,158,12
1951,6,17,1951.46027,14215107,303,157,15
1951,6,18,1951.46301,14216339,317,153,9
1951,6,19,1951.46575,14217570,336,168,8
1951,6,20,1951.46849,14218802,330,169,16
1951,6,21,1951.47123,14220034,316,165,14
1951,6,22,1951.47397,14221266,332,159,14
1951,6,23,1951.47671,14222498,293,139,11
1951,6,24,1951.47945,14223729,304,146,9
1951,6,25,1951.48219,14224961,323,156,9
1951,6,26,1951.48493,14226193,294,142,9
1951,6,27,1951.48767,14227425,308,152,14
1951,6,28,1951.49041,14228656,279,143,10
1951,6,29,1951.49315,14229888,329,154,10
1951,6,30,1951.49589,14231120,350,173,10
1951,7,1,1951.49863,14232352,363,177,11
1951,7,2,1951.50137,14233584,313,171,12
1951,7,3,1951.50411,14234815,324,152,4
1951,7,4,1951.50685,14236047,303,164,8
1951,7,5,1951.50959,14237279,279,148,6
1951,7,6,1951.51233,14238511,345,160,16
1951,7,7,1951.51507,14239743,352,168,11
1951,7,8,1951.51781,14240974,312,142,11
1951,7,9,1951.52055,14242206,331,165,9
1951,7,10,1951.52329,14243438,319,161,9
1951,7,11,1951.52603,14244670,315,178,10
1951,7,12,1951.52877,14245901,329,154,11
1951,7,13,1951.53151,14247133,286,140,6
1951,7,14,1951.53425,14248365,312,146,12
1951,7,15,1951.53699,14249597,325,146,11
1951,7,16,1951.53973,14250829,329,160,7
1951,7,17,1951.54247,14252060,255,114,9
1951,7,18,1951.54521,14253292,316,145,12
1951,7,19,1951.54795,14254524,316,144,3
1951,7,20,1951.55068,14255756,280,126,11
1951,7,21,1951.55342,14256987,295,144,15
1951,7,22,1951.55616,14258219,334,154,8
1951,7,23,1951.5589,14259451,329,155,5
1951,7,24,1951.56164,14260683,282,127,10
1951,7,25,1951.56438,14261915,303,143,6
1951,7,26,1951.56712,14263146,327,150,10
1951,7,27,1951.56986,14264378,320,163,16
1951,7,28,1951.5726,14265610,343,161,10
1951,7,29,1951.57534,14266842,308,112,7
1951,7,30,1951.57808,14268073,335,166,4
1951,7,31,1951.58082,14269305,281,129,6
1951,8,1,1951.58356,14270537,322,135,5
1951,8,2,1951.5863,14271769,292,134,14
1951,8,3,1951.58904,14273001,284,153,8
1951,8,4,1951.59178,14274232,275,117,8
1951,8,5,1951.59452,14275464,292,148,3
1951,8,6,1951.59726,14276696,281,140,7
1951,8,7,1951.6,14277928,310,153,7
1951,8,8,1951.60274,14279160,311,144,9
1951,8,9,1951.60548,14280391,291,141,4
1951,8,10,1951.60822,14281623,290,131,8
1951,8,11,1951.61096,14282855,302,154,9
1951,8,12,1951.6137,14284087,326,155,9
1951,8,13,1951.61644,14285318,310,161,8
1951,8,14,1951.61918,14286550,301,147,10
1951,8,15,1951.62192,14287782,290,145,10
1951,8,16,1951.62466,14289014,268,129,8
1951,8,17,1951.6274,14290246,293,133,9
1951,8,18,1951.63014,14291477,264,129,1.5
1951,8,19,1951.63288,14292709,305,143,7
1951,8,20,1951.63562,14293941,284,135,4
1951,8,21,1951.63836,14295173,310,146,9
1951,8,22,1951.6411,14296404,270,143,5
1951,8,23,1951.64384,14297636,297,146,13
1951,8,24,1951.64658,14298868,295,146,10
1951,8,25,1951.64932,14300100,299,126,5
1951,8,26,1951.65205,14301332,312,154,8
1951,8,27,1951.65479,14302563,325,149,6
1951,8,28,1951.65753,14303795,287,137,8
1951,8,29,1951.66027,14305027,342,174,9
1951,8,30,1951.66301,14306259,310,147,8
1951,8,31,1951.66575,14307490,309,146,11
1951,9,1,1951.66849,14308722,316,151,9
1951,9,2,1951.67123,14309954,293,132,5
1951,9,3,1951.67397,14311186,308,145,10
1951,9,4,1951.67671,14312418,298,150,5
1951,9,5,1951.67945,14313649,285,142,9
1951,9,6,1951.68219,14314881,320,153,11
1951,9,7,1951.68493,14316113,313,149,5
1951,9,8,1951.68767,14317345,319,157,10
1951,9,9,1951.69041,14318576,269,132,8
1951,9,10,1951.69315,14319808,320,155,12
1951,9,11,1951.69589,14321040,299,142,7
1951,9,12,1951.69863,14322272,324,159,13
1951,9,13,1951.70137,14323504,346,165,11
1951,9,14,1951.70411,14324735,321,158,10
1951,9,15,1951.70685,14325967,285,139,7
1951,9,16,1951.70959,14327199,285,138,6
1951,9,17,1951.71233,14328431,333,167,13
1951,9,18,1951.71507,14329663,320,154,7
1951,9,19,1951.71781,14330894,309,152,11
1951,9,20,1951.72055,14332126,279,144,9
1951,9,21,1951.72329,14333358,373,190,12
1951,9,22,1951.72603,14334590,303,150,9
1951,9,23,1951.72877,14335821,328,130,6
1951,9,24,1951.73151,14337053,319,170,16
1951,9,25,1951.73425,14338285,308,154,10
1951,9,26,1951.73699,14339517,306,157,9
1951,9,27,1951.73973,14340749,339,158,13
1951,9,28,1951.74247,14341980,332,165,7
1951,9,29,1951.74521,14343212,335,171,10
1951,9,30,1951.74795,14344444,337,151,11
1951,10,1,1951.75068,14345676,346,182,7
1951,10,2,1951.75342,14346907,333,160,21
1951,10,3,1951.75616,14348139,343,182,15
1951,10,4,1951.7589,14349371,319,153,11
1951,10,5,1951.76164,14350603,346,168,15
1951,10,6,1951.76438,14351835,312,156,13
1951,10,7,1951.76712,14353066,300,156,9
1951,10,8,1951.76986,14354298,326,166,16
1951,10,9,1951.7726,14355530,323,172,6
1951,10,10,1951.77534,14356762,340,178,18
1951,10,11,1951.77808,14357993,329,170,10
1951,10,12,1951.78082,14359225,327,166,13
1951,10,13,1951.78356,14360457,279,130,4
1951,10,14,1951.7863,14361689,361,176,16
1951,10,15,1951.78904,14362921,341,171,12
1951,10,16,1951.79178,14364152,319,160,14
1951,10,17,1951.79452,14365384,337,174,15
1951,10,18,1951.79726,14366616,361,180,12
1951,10,19,1951.8,14367848,328,166,13
1951,10,20,1951.80274,14369080,326,152,10
1951,10,21,1951.80548,14370311,341,163,10
1951,10,22,1951.80822,14371543,341,161,21
1951,10,23,1951.81096,14372775,365,188,15
1951,10,24,1951.8137,14374007,310,171,13
1951,10,25,1951.81644,14375238,351,194,17
1951,10,26,1951.81918,14376470,327,178,13
1951,10,27,1951.82192,14377702,367,193,12
1951,10,28,1951.82466,14378934,332,162,16
1951,10,29,1951.8274,14380166,333,168,13
1951,10,30,1951.83014,14381397,316,174,10
1951,10,31,1951.83288,14382629,315,171,12
1951,11,1,1951.83562,14383861,320,162,11
1951,11,2,1951.83836,14385093,356,200,16
1951,11,3,1951.8411,14386324,325,166,10
1951,11,4,1951.84384,14387556,360,198,11
1951,11,5,1951.84658,14388788,327,166,18
1951,11,6,1951.84932,14390020,323,192,18
1951,11,7,1951.85205,14391252,368,213,23
1951,11,8,1951.85479,14392483,363,192,21
1951,11,9,1951.85753,14393715,335,159,11
1951,11,10,1951.86027,14394947,359,173,6
1951,11,11,1951.86301,14396179,353,193,12
1951,11,12,1951.86575,14397410,358,184,12
1951,11,13,1951.86849,14398642,314,162,15
1951,11,14,1951.87123,14399874,352,175,19
1951,11,15,1951.87397,14401106,309,150,16
1951,11,16,1951.87671,14402338,327,162,14
1951,11,17,1951.87945,14403569,352,171,7
1951,11,18,1951.88219,14404801,329,182,18
1951,11,19,1951.88493,14406033,295,154,13
1951,11,20,1951.88767,14407265,319,160,13
1951,11,21,1951.89041,14408496,302,150,9
1951,11,22,1951.89315,14409728,361,174,14
1951,11,23,1951.89589,14410960,369,190,20
1951,11,24,1951.89863,14412192,369,203,19
1951,11,25,1951.90137,14413424,350,173,14
1951,11,26,1951.90411,14414655,356,191,14
1951,11,27,1951.90685,14415887,310,169,13
1951,11,28,1951.90959,14417119,344,193,11
1951,11,29,1951.91233,14418351,320,165,20
1951,11,30,1951.91507,14419583,337,182,18
1951,12,1,1951.91781,14420814,346,205,17
1951,12,2,1951.92055,14422046,307,148,12
1951,12,3,1951.92329,14423278,333,193,16
1951,12,4,1951.92603,14424510,346,185,16
1951,12,5,1951.92877,14425741,342,168,13
1951,12,6,1951.93151,14426973,344,174,13
1951,12,7,1951.93425,14428205,353,178,12
1951,12,8,1951.93699,14429437,335,170,8
1951,12,9,1951.93973,14430669,300,180,14
1951,12,10,1951.94247,14431900,370,198,22
1951,12,11,1951.94521,14433132,358,194,16
1951,12,12,1951.94795,14434364,332,179,14
1951,12,13,1951.95068,14435596,350,185,19
1951,12,14,1951.95342,14436827,314,163,17
1951,12,15,1951.95616,14438059,370,216,18
1951,12,16,1951.9589,14439291,370,190,19
1951,12,17,1951.96164,14440523,350,193,18
1951,12,18,1951.96438,14441755,379,200,15
1951,12,19,1951.96712,14442986,389,209,11
1951,12,20,1951.96986,14444218,359,209,16
1951,12,21,1951.9726,14445450,407,215,18
1951,12,22,1951.97534,14446682,360,199,23
1951,12,23,1951.97808,14447913,338,178,19
1951,12,24,1951.98082,14449145,375,205,9
1951,12,25,1951.98356,14450377,396,201,17
1951,12,26,1951.9863,14451609,416,238,32
1951,12,27,1951.98904,14452841,374,210,25
1951,12,28,1951.99178,14454072,368,196,18
1951,12,29,1951.99452,14455304,344,172,19
1951,12,30,1951.99726,14456536,388,210,23
1951,12,31,1952,14457768,382,214,21
1952,1,1,1952.00274,14459000,407,232,33
1952,1,2,1952.00548,14460054,341,197,27
1952,1,3,1952.00822,14461109,355,186,14
1952,1,4,1952.01096,14462163,355,193,22
1952,1,5,1952.0137,14463218,370,207,22
1952,1,6,1952.01644,14464273,390,204,25
1952,1,7,1952.01918,14465327,347,216,33
1952,1,8,1952.02192,14466382,351,201,31
1952,1,9,1952.02466,14467437,364,200,18
1952,1,10,1952.0274,14468491,317,168,21
1952,1,11,1952.03014,14469546,374,225,18
1952,1,12,1952.03288,14470601,386,211,23
1952,1,13,1952.03562,14471655,359,194,20
1952,1,14,1952.03836,14472710,393,210,20
1952,1,15,1952.0411,14473765,374,212,17
1952,1,16,1952.04384,14474819,345,194,19
1952,1,17,1952.04658,14475874,365,203,12
1952,1,18,1952.04932,14476928,369,208,20
1952,1,19,1952.05205,14477983,327,181,13
1952,1,20,1952.05479,14479038,333,190,16
1952,1,21,1952.05753,14480092,362,201,17
1952,1,22,1952.06027,14481147,312,163,17
1952,1,23,1952.06301,14482202,350,187,21
1952,1,24,1952.06575,14483256,348,179,11
1952,1,25,1952.06849,14484311,346,195,24
1952,1,26,1952.07123,14485366,370,204,23
1952,1,27,1952.07397,14486420,357,198,23
1952,1,28,1952.07671,14487475,352,204,13
1952,1,29,1952.07945,14488530,359,196,14
1952,1,30,1952.08219,14489584,329,165,29
1952,1,31,1952.08493,14490639,339,176,24
1952,2,1,1952.08767,14491693,390,211,24
1952,2,2,1952.09041,14492748,379,205,23
1952,2,3,1952.09315,14493803,401,217,15
1952,2,4,1952.09589,14494857,342,172,15
1952,2,5,1952.09863,14495912,398,198,22
1952,2,6,1952.10137,14496967,347,191,13
1952,2,7,1952.10411,14498021,340,170,15
1952,2,8,1952.10685,14499076,332,178,18
1952,2,9,1952.10959,14500131,349,171,22
1952,2,10,1952.11233,14501185,333,174,17
1952,2,11,1952.11507,14502240,369,209,15
1952,2,12,1952.11781,14503295,340,197,21
1952,2,13,1952.12055,14504349,333,193,15
1952,2,14,1952.12329,14505404,355,205,21
1952,2,15,1952.12603,14506459,321,181,12
1952,2,16,1952.12877,14507513,351,183,17
1952,2,17,1952.13151,14508568,323,187,16
1952,2,18,1952.13425,14509622,375,218,23
1952,2,19,1952.13699,14510677,348,198,28
1952,2,20,1952.13973,14511732,364,190,16
1952,2,21,1952.14247,14512786,331,184,30
1952,2,22,1952.14521,14513841,334,178,12
1952,2,23,1952.14795,14514896,365,200,24
1952,2,24,1952.15068,14515950,380,226,19
1952,2,25,1952.15342,14517005,335,209,28
1952,2,26,1952.15616,14518060,373,191,19
1952,2,27,1952.1589,14519114,363,186,19
1952,2,28,1952.16164,14520169,382,218,19
1952,2,29,1952.16438,14521224,352,190,20
1952,3,1,1952.16712,14522278,374,185,14
1952,3,2,1952.16986,14523333,360,201,26
1952,3,3,1952.1726,14524387,359,207,19
1952,3,4,1952.17534,14525442,388,213,21
1952,3,5,1952.17808,14526497,374,208,17
1952,3,6,1952.18082,14527551,345,174,11
1952,3,7,1952.18356,14528606,329,175,13
1952,3,8,1952.1863,14529661,344,192,20
1952,3,9,1952.18904,14530715,339,187,12
1952,3,10,1952.19178,14531770,334,183,17
1952,3,11,1952.19452,14532825,351,190,23
1952,3,12,1952.19726,14533879,342,191,21
1952,3,13,1952.2,14534934,355,205,18
1952,3,14,1952.20274,14535989,366,192,14
1952,3,15,1952.20548,14537043,365,192,17
1952,3,16,1952.20822,14538098,374,196,28
1952,3,17,1952.21096,14539153,358,204,14
1952,3,18,1952.2137,14540207,433,227,15
1952,3,19,1952.21644,14541262,345,193,18
1952,3,20,1952.21918,14542316,355,206,13
1952,3,21,1952.22192,14543371,360,187,15
1952,3,22,1952.22466,14544426,346,187,23
1952,3,23,1952.2274,14545480,381,223,18
1952,3,24,1952.23014,14546535,384,222,23
1952,3,25,1952.23288,14547590,402,224,24
1952,3,26,1952.23562,14548644,339,173,19
1952,3,27,1952.23836,14549699,328,169,13
1952,3,28,1952.2411,14550754,341,192,14
1952,3,29,1952.24384,14551808,387,211,25
1952,3,30,1952.24658,14552863,337,190,16
1952,3,31,1952.24932,14553918,362,197,22
1952,4,1,1952.25205,14554972,365,184,20
1952,4,2,1952.25479,14556027,344,186,18
1952,4,3,1952.25753,14557081,336,184,16
1952,4,4,1952.26027,14558136,342,168,14
1952,4,5,1952.26301,14559191,359,208,22
1952,4,6,1952.26575,14560245,392,205,19
1952,4,7,1952.26849,14561300,367,187,16
1952,4,8,1952.27123,14562355,358,200,17
1952,4,9,1952.27397,14563409,340,171,14
1952,4,10,1952.27671,14564464,368,195,22
1952,4,11,1952.27945,14565519,384,199,16
1952,4,12,1952.28219,14566573,354,197,23
1952,4,13,1952.28493,14567628,336,193,20
1952,4,14,1952.28767,14568683,380,203,13
1952,4,15,1952.29041,14569737,347,191,12
1952,4,16,1952.29315,14570792,374,199,19
1952,4,17,1952.29589,14571846,372,199,14
1952,4,18,1952.29863,14572901,365,191,26
1952,4,19,1952.30137,14573956,399,207,13
1952,4,20,1952.30411,14575010,359,185,12
1952,4,21,1952.30685,14576065,359,187,22
1952,4,22,1952.30959,14577120,355,197,19
1952,4,23,1952.31233,14578174,364,196,14
1952,4,24,1952.31507,14579229,361,184,20
1952,4,25,1952.31781,14580284,371,200,22
1952,4,26,1952.32055,14581338,361,213,18
1952,4,27,1952.32329,14582393,342,175,16
1952,4,28,1952.32603,14583448,344,180,19
1952,4,29,1952.32877,14584502,359,184,9
1952,4,30,1952.33151,14585557,342,183,21
1952,5,1,1952.33425,14586612,359,186,20
1952,5,2,1952.33699,14587666,361,201,19
1952,5,3,1952.33973,14588721,328,170,14
1952,5,4,1952.34247,14589775,345,184,14
1952,5,5,1952.34521,14590830,342,187,13
1952,5,6,1952.34795,14591885,349,208,17
1952,5,7,1952.35068,14592939,356,186,18
1952,5,8,1952.35342,14593994,348,182,18
1952,5,9,1952.35616,14595049,357,197,22
1952,5,10,1952.3589,14596103,338,158,14
1952,5,11,1952.36164,14597158,353,191,11
1952,5,12,1952.36438,14598213,334,188,8
1952,5,13,1952.36712,14599267,334,175,21
1952,5,14,1952.36986,14600322,369,194,16
1952,5,15,1952.3726,14601377,376,203,16
1952,5,16,1952.37534,14602431,348,191,22
1952,5,17,1952.37808,14603486,363,199,14
1952,5,18,1952.38082,14604540,361,175,15
1952,5,19,1952.38356,14605595,325,181,13
1952,5,20,1952.3863,14606650,359,191,15
1952,5,21,1952.38904,14607704,350,194,16
1952,5,22,1952.39178,14608759,356,174,15
1952,5,23,1952.39452,14609814,342,180,15
1952,5,24,1952.39726,14610868,319,165,10
1952,5,25,1952.4,14611923,362,187,7
1952,5,26,1952.40274,14612978,349,185,21
1952,5,27,1952.40548,14614032,314,152,10
1952,5,28,1952.40822,14615087,348,188,18
1952,5,29,1952.41096,14616142,350,191,11
1952,5,30,1952.4137,14617196,338,196,17
1952,5,31,1952.41644,14618251,304,166,13
1952,6,1,1952.41918,14619306,353,178,18
1952,6,2,1952.42192,14620360,352,184,12
1952,6,3,1952.42466,14621415,349,166,13
1952,6,4,1952.4274,14622469,345,167,9
1952,6,5,1952.43014,14623524,340,172,13
1952,6,6,1952.43288,14624579,355,181,13
1952,6,7,1952.43562,14625633,338,163,8
1952,6,8,1952.43836,14626688,335,183,11
1952,6,9,1952.4411,14627743,314,152,8
1952,6,10,1952.44384,14628797,323,173,11
1952,6,11,1952.44658,14629852,313,159,8
1952,6,12,1952.44932,14630907,332,172,16
1952,6,13,1952.45205,14631961,326,173,8
1952,6,14,1952.45479,14633016,368,175,14
1952,6,15,1952.45753,14634071,401,202,18
1952,6,16,1952.46027,14635125,351,165,8
1952,6,17,1952.46301,14636180,348,183,13
1952,6,18,1952.46575,14637234,328,177,12
1952,6,19,1952.46849,14638289,307,164,8
1952,6,20,1952.47123,14639344,320,170,6
1952,6,21,1952.47397,14640398,327,164,14
1952,6,22,1952.47671,14641453,348,181,15
1952,6,23,1952.47945,14642508,383,189,12
1952,6,24,1952.48219,14643562,334,173,11
1952,6,25,1952.48493,14644617,348,178,9
1952,6,26,1952.48767,14645672,352,174,7
1952,6,27,1952.49041,14646726,322,181,15
1952,6,28,1952.49315,14647781,359,174,12
1952,6,29,1952.49589,14648836,347,175,9
1952,6,30,1952.49863,14649890,332,162,12
1952,7,1,1952.50137,14650945,344,166,16
1952,7,2,1952.50411,14652000,356,168,13
1952,7,3,1952.50685,14653054,347,174,8
1952,7,4,1952.50959,14654109,366,186,20
1952,7,5,1952.51233,14655163,343,172,18
1952,7,6,1952.51507,14656218,365,171,8
1952,7,7,1952.51781,14657273,341,167,6
1952,7,8,1952.52055,14658327,352,169,10
1952,7,9,1952.52329,14659382,337,159,15
1952,7,10,1952.52603,14660437,315,140,10
1952,7,11,1952.52877,14661491,316,154,10
1952,7,12,1952.53151,14662546,346,183,13
1952,7,13,1952.53425,14663601,335,156,10
1952,7,14,1952.53699,14664655,329,152,12
1952,7,15,1952.53973,14665710,324,154,7
1952,7,16,1952.54247,14666765,298,141,14
1952,7,17,1952.54521,14667819,349,175,5
1952,7,18,1952.54795,14668874,321,153,7
1952,7,19,1952.55068,14669928,339,154,10
1952,7,20,1952.55342,14670983,316,165,11
1952,7,21,1952.55616,14672038,313,135,8
1952,7,22,1952.5589,14673092,324,162,8
1952,7,23,1952.56164,14674147,303,151,10
1952,7,24,1952.56438,14675202,329,180,8
1952,7,25,1952.56712,14676256,297,141,7
1952,7,26,1952.56986,14677311,342,163,8
1952,7,27,1952.5726,14678366,300,135,7
1952,7,28,1952.57534,14679420,304,150,7
1952,7,29,1952.57808,14680475,284,138,8
1952,7,30,1952.58082,14681530,311,150,6
1952,7,31,1952.58356,14682584,296,148,10
1952,8,1,1952.5863,14683639,312,155,12
1952,8,2,1952.58904,14684693,347,162,8
1952,8,3,1952.59178,14685748,307,153,8
1952,8,4,1952.59452,14686803,280,133,12
1952,8,5,1952.59726,14687857,316,148,8
1952,8,6,1952.6,14688912,304,142,7
